,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.774322831429999,5.786496306974554e-05,0.00026946509530793666,2.469966653502563e-05,1.1127888116201188e-07,0.0,6.800919015803243e-06,5.643619754390972e-06,1.5913019991719006e-05,9.547811995031404e-05,1.1572992613949108e-06
1, 01/01  02:00:00,4.44680173349,0.218782965086,0.0,0.0,0.2750026812,1.6500160872,0.504204955383,0.051128468483,0.45307648689999996,,4.951006688873,6.000637772621887e-05,0.0002668364644934058,1.312837324301267e-05,0.0,0.0,3.0255513004143632e-05,3.0680341923539743e-06,1.6501914763810148e-05,9.901148858286089e-05,2.718747881178965e-05
2, 01/01  03:00:00,4.657474570950001,0.42685012181299997,0.0026056807369,0.0,0.2750026812,1.6500160872,0.0885275544364,0.0685275544364,0.02,,4.746002125386401,5.752171510198482e-05,0.00026790592536492496,2.4553151098174903e-05,1.4988322499469169e-07,0.0,5.092256764966053e-06,3.941822462926357e-06,1.5818625880268358e-05,9.491175528161015e-05,1.1504343020396966e-06
3, 01/01  04:00:00,4.6922449696,0.463313949328,0.0009122518697380001,0.0,0.2750026812,1.6500160872,0.514649017152,0.06158369871759999,0.453065318434,,5.206893986752,6.31077409068378e-05,0.0002961169798129298,2.92386966727152e-05,5.757015463720406e-08,0.0,3.247833683238713e-05,3.886408102755059e-06,1.7354797953855312e-05,0.00010412878772313188,2.8591928729606835e-05
4, 01/01  05:00:00,4.72916957944,0.499777776842,0.00137303419563,0.0,0.2750026812,1.6500160872,0.6162737973,0.16321963418299998,0.453054163118,,5.34544337674,6.478696445707896e-05,0.00030638854145467834,3.2379085064700593e-05,8.895471763063482e-08,0.0,3.9926508601504184e-05,1.057450463851145e-05,1.7816588932505817e-05,0.0001068995335950349,2.9352003963057522e-05
5, 01/01  06:00:00,5.0058420987400005,0.7739314856,0.0038918447394400003,0.0,0.2750026812,1.6500160872,0.191327616038,0.17132761603799998,0.02,,5.197169714778001,6.298988238354078e-05,0.00031531740503020953,4.874985325086298e-05,2.4514684239232753e-07,0.0,1.205170403095687e-05,1.0791906383286053e-05,1.7322386543946358e-05,0.00010393431926367817,1.2597976476708156e-06
6, 01/01  07:00:00,4.85917620549,0.629862143603,0.00129529348277,0.0,0.2750026812,1.6500160872,0.566544584391,0.113469341571,0.453075242821,,5.425720789881,6.575992956872965e-05,0.0003195390850350694,4.141969020134236e-05,8.517840819778974e-08,0.0,3.725593196709737e-05,7.461735909919088e-06,1.8084156946923812e-05,0.00010850494168154289,2.9794196057244044e-05
7, 01/01  08:00:00,3.3661003345599996,0.669897907237,0.0035169922546799998,0.0,0.2750026812,1.6500160872,0.682176151898,0.229097231982,0.45307891991599997,,4.048276486458,4.906525546259471e-05,0.0001651585728279119,3.2868711952440976e-05,1.7256212343584112e-07,0.0,3.347114716336518e-05,1.1240714212970152e-05,1.349307680597649e-05,8.095846083585894e-05,2.2230432950395027e-05
8, 01/01  09:00:00,2.45841407209,0.532318604103,0.00107669958156,0.0,0.2750026812,1.6500160872,0.12073608729299999,0.100736087293,0.02,,2.579150159383,3.125939195848738e-05,7.684852907572237e-05,1.6639955892450546e-05,3.365697424152339e-08,0.0,3.7741366762260346e-06,3.148948837056287e-06,8.596416601265748e-06,5.15784996075945e-05,6.251878391697476e-07
9, 01/01  10:00:00,1.9250187684,0.0,0.0,0.0,0.2750026812,1.6500160872,0.453086718384,0.0,0.453086718384,,2.378105486784,2.8822723353104075e-05,5.5484283411126327e-05,0.0,0.0,0.0,1.3059193138947806e-05,0.0,7.926326201589474e-06,4.755795720953685e-05,1.3059193138947806e-05
