,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,13.532871198099999,2.17605060216,0.0,0.0,1.85583932782,5.577000000000001,43.297836222200004,37.9847811892,3.0011,2.31195503308,56.8307074203,0.0001260520647715143,0.0017058463568074614,0.00027429567144956503,0.0,0.0,0.005457781655947173,0.004788060098792836,0.0002339323791558902,0.0007029923652307354,0.00029142670557862863
1, 01/01  02:00:00,9.5216018774,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02,12.5427018774,2.7820056114506008e-05,0.00026489149852925375,0.0,0.0,0.0,8.404717152753411e-05,0.0,1.7209851413171716e-05,0.00013910028057253005,5.564011222901201e-07
2, 01/01  03:00:00,9.54452112225,0.0,0.0,0.0,0.618613109274,5.0,3.5931512371900003,0.0,3.0011,0.592051237186,13.13767235944,2.9139716930701583e-05,0.0002781246437414672,0.0,0.0,0.0,0.00010470340994091679,0.0,1.802621089386553e-05,0.0001456985846535079,1.7252205460071703e-05
3, 01/01  04:00:00,9.55115336103,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02,12.57225336103,2.7885602114155e-05,0.0002663396623569568,0.0,0.0,0.0,8.424519254707368e-05,0.0,1.7250399027815055e-05,0.000139428010570775,5.577120422831e-07
4, 01/01  05:00:00,9.69877275108,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02,12.71987275108,2.8213025962295724e-05,0.0002736317274286264,0.0,0.0,0.0,8.523437273469161e-05,0.0,1.7452947712563847e-05,0.00014106512981147863,5.642605192459145e-07
5, 01/01  06:00:00,13.6939731118,2.17605060216,0.0,0.0,1.85583932782,5.577000000000001,45.8457195146,40.7519735663,4.50165,0.5920959482429999,59.5396926264,0.00013206066811581151,0.0018084352383042665,0.0002873706963750636,0.0,0.0,0.006054416349348174,0.0053817328562034685,0.0002450833815475078,0.0007365023460818809,7.819258651363552e-05
6, 01/01  07:00:00,28.166023448,2.17605060216,0.0,0.0,3.71167865564,18.077,49.259083992,34.0165357365,13.50495,1.7375982554499998,77.42510744,0.00017173100777700677,0.004836979591795843,0.00037369536288269926,0.0,0.0,0.008459312136118382,0.00584169396311171,0.0006374103160774629,0.0031043814275849516,0.0002983994995199973
7, 01/01  08:00:00,26.2249598575,2.17605060216,0.0,0.0,3.71167865564,18.077,52.3291801446,30.1563764486,21.0077,1.16510369596,78.5541400021,0.00017423523290646805,0.0045693119887342875,0.0003791446834836077,0.0,0.0,0.009117586890298904,0.0052543032741369485,0.0006467051950394016,0.0031496503052502235,0.00020300211382577734
8, 01/01  09:00:00,20.5890839725,2.17605060216,0.0,0.0,3.71167865564,13.077,48.0480928544,31.3044143619,15.0055,1.73817849248,68.6371768269,0.00015223913711177604,0.003134464377895298,0.0003312800659843991,0.0,0.0,0.007314800196020347,0.004765757030245146,0.0005650627557708305,0.0019908311960106953,0.00026461879384140287
9, 01/01  10:00:00,20.5970023697,2.17605060216,0.0,0.0,3.71167865564,13.077,46.7891618419,30.6181207565,15.0055,1.1655410854600001,67.3861642116,0.00014946435688517184,0.0030785177129495707,0.00032524200380143535,0.0,0.0,0.006993311983895805,0.004576317727902804,0.0005547636632296518,0.001954545394987392,0.00017420684876152403
10, 01/01  11:00:00,25.5968844446,2.17605060216,0.0,0.0,3.71167865564,18.077,63.9261270404,26.2999418276,33.0121,4.61408521276,89.523011485,0.00019856449012312276,0.005082632308482491,0.00043208637830001467,0.0,0.0,0.012693458821322995,0.005222234539265184,0.0007370075797580344,0.00358945028795569,0.0009161934776563298
11, 01/01  12:00:00,26.7522298885,2.17605060216,0.0,0.0,3.71167865564,18.077,67.43405628100001,22.305409783200002,40.51485,4.6137964978,94.18628616950001,0.00020890776102824597,0.005588748448519457,0.00045459385918141204,0.0,0.0,0.01408749771471644,0.004659773216625846,0.0007753984776060823,0.003776425596107603,0.0009638578961953606
12, 01/01  13:00:00,25.8403518433,2.17605060216,0.0,0.0,3.71167865564,18.077,57.15838764430001,17.6829672669,36.0132,3.4622203773400004,82.9987394876,0.00018409347623408082,0.004757040197944835,0.00040059671981289925,0.0,0.0,0.010522486277374322,0.0032553189142970843,0.0006832958263806074,0.003327857769883479,0.0006373721847529916
13, 01/01  14:00:00,25.6506027477,2.17605060216,0.0,0.0,3.71167865564,18.077,51.316787756800004,15.7687498305,31.51155,4.03648792634,76.9673905045,0.00017071577908428674,0.004378962632055151,0.00037148617387457574,0.0,0.0,0.0087605854020051,0.0026919744124990217,0.0006336421134081006,0.0030860291385066516,0.0006890921811094502
14, 01/01  15:00:00,20.6511216033,2.17605060216,0.0,0.0,3.71167865564,13.077,40.3896482346,17.0688936495,21.0077,2.31305458509,61.0407698379,0.00013539009846218542,0.002795957387225351,0.00029461570528514026,0.0,0.0,0.0054683584513355275,0.0023109591918463765,0.0005025245386470916,0.0017704963175899987,0.0003131646880237446
15, 01/01  16:00:00,20.6281820744,2.17605060216,0.0,0.0,3.71167865564,13.077,42.1287128255,19.734549487,19.50715,2.8870133385,62.756894899900004,0.0001391965108277998,0.0028713709694770458,0.00030289865120540477,0.0,0.0,0.00586416983097598,0.0027469804313489466,0.0005166527181791067,0.001820272772095138,0.0004018621834325177
16, 01/01  17:00:00,21.7966566061,2.17605060216,0.0,0.0,3.71167865564,13.077,49.564270675699994,24.1691799013,22.50825,2.88684077439,71.3609272818,0.00015828049018210325,0.0034499854919444873,0.00034442635597094575,0.0,0.0,0.00784505705806824,0.003825509642077202,0.0005874863170131493,0.002069833970111364,0.00045693057284813175
17, 01/01  18:00:00,28.054470657,2.17605060216,0.0,0.0,3.71167865564,18.077,54.6845892561,25.712299337199997,25.50935,3.46293991893,82.7390599131,0.0001835174998292363,0.005148486314005312,0.0003993433660103074,0.0,0.0,0.010035579099468188,0.004718656889223873,0.0006811579870525938,0.003317445844413105,0.0006355100759808919
18, 01/01  19:00:00,28.0553515357,2.17605060216,0.0,0.0,3.71167865564,18.077,55.0039749148,24.8801653619,25.50935,4.61445955291,83.0593264505,0.00018422785977633197,0.00516857736869464,0.00040088914520093524,0.0,0.0,0.010133264577744655,0.004583619615504065,0.0006837946149060503,0.0033302870211767534,0.0008501120074570589
19, 01/01  20:00:00,28.197553535500003,2.17605060216,0.0,0.0,3.71167865564,18.077,55.1375015829,25.014557843200002,25.50935,4.613593739630001,83.3350551184,0.0001848394335096739,0.005212019821860522,0.00040221996059163916,0.0,0.0,0.010191584557721983,0.004623676701232058,0.0006860645800784456,0.0033413424395543753,0.0008527740532769873
