,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,22.437542811700002,3.96121715823,0.00140558181794,0.0,4.589925329630001,8.1892,88.6279206269,78.3603986099,3.3398800000000004,6.92764201702,111.0654634386,0.00013845799285353415,0.0031066571422732254,0.0005484621769855062,1.9461403730339405e-07,0.0,0.012271244000782913,0.010849623510729621,0.000635511848488166,0.0011338601950761618,0.000959187408884398
1, 01/01  02:00:00,14.689918240899999,0.0,0.0,0.0,1.52997510988,7.4902,3.9319372355400004,0.0,3.3398800000000004,0.592057235536,18.62185547644,2.3214639840780516e-05,0.0003410211612530055,0.0,0.0,0.0,9.12785067996153e-05,0.0,3.55178211412228e-05,0.0001738822953354142,1.3744395488096398e-05
2, 01/01  03:00:00,14.7104178803,0.0,0.0,0.0,1.52997510988,7.4902,3.3598800000000004,0.0,3.3398800000000004,0.02,18.0702978803,2.2527049339284228e-05,0.000331382309391007,0.0,0.0,0.0,7.56881825340743e-05,0.0,3.446582478814357e-05,0.00016873210496110672,4.5054098678568456e-07
3, 01/01  04:00:00,14.7159459904,0.0,0.0,0.0,1.52997510988,7.4902,3.3598800000000004,0.0,3.3398800000000004,0.02,18.0758259904,2.2533940869783646e-05,0.0003316082567906033,0.0,0.0,0.0,7.571133724956869e-05,0.0,3.4476368658276656e-05,0.00016878372390285347,4.506788173956729e-07
4, 01/01  05:00:00,14.8629774942,0.0,0.0,0.0,1.52997510988,7.4902,3.9319431625199996,0.0,3.3398800000000004,0.592063162524,18.794920656720002,2.343038879416827e-05,0.00034824534132807893,0.0,0.0,0.0,9.212695701441515e-05,0.0,3.584791166988872e-05,0.00017549829814607917,1.387227008864216e-05
5, 01/01  06:00:00,22.5771690967,3.96121715823,0.0,0.0,4.589925329630001,8.1892,90.59550148209999,82.2258014821,8.3497,0.02,113.1726705788,0.00014108490910747857,0.0031852978499120935,0.0005588679627238642,0.0,0.0,0.012781658092148518,0.011600819728391654,0.0006475691979409622,0.0011553725376629634,2.821698182149571e-06
6, 01/01  07:00:00,38.5407576775,3.96121715823,0.013475122944200002,0.0,9.179850659269999,19.4245,98.1079110502,76.794679448,16.6994,4.6138316022,136.6486687277,0.00017035088867750853,0.006565452320666634,0.0006747968631490754,2.2954991685831553e-06,0.0,0.016712769833695528,0.013082041889671199,0.0015637957177334569,0.0033089808371162643,0.000785970313643143
7, 01/01  08:00:00,42.8314644462,3.96121715823,0.011366375822,0.0,9.179850659269999,26.9147,94.0228489161,64.3607357477,25.0491,4.61301316839,136.8543133623,0.00017060725228925858,0.007307358460691252,0.0006758123750866856,1.939186147478483e-06,0.0,0.016040979905983917,0.010980408281230158,0.0015661490974037933,0.004591843013189708,0.0007870135014331848
8, 01/01  09:00:00,41.7737823723,3.96121715823,0.0,0.0,9.179850659269999,26.9147,100.96422836299999,62.9533831834,33.3988,4.61204518,142.73801073529998,0.0001779420700048804,0.007433313307260445,0.0007048671808742961,0.0,0.0,0.017965783791357673,0.011202055317464623,0.0016334816286461694,0.004789257431560354,0.0008206768662852312
9, 01/01  10:00:00,34.2858379484,3.96121715823,0.0,0.0,9.179850659269999,19.4245,98.3671937066,69.27871492850001,25.0491,4.03937877816,132.653031655,0.00016536979129467492,0.005669841865889954,0.0006550656547293804,0.0,0.0,0.016266962293503304,0.011456606628889325,0.0015180699876397637,0.0032122255110034127,0.0006679912255044581
10, 01/01  11:00:00,41.788936052800004,3.96121715823,0.005347930037239999,0.0,9.179850659269999,26.9147,121.552948014,65.2973350569,41.7485,14.5071129575,163.3418840668,0.00020362756086914928,0.00850937911974852,0.0008066129880033979,1.0889859491820397e-06,0.0,0.024751530320545324,0.013296337068892139,0.0018692705988902019,0.005480574712524892,0.0029540480267889555
11, 01/01  12:00:00,42.5532759115,3.96121715823,0.0,0.0,9.179850659269999,26.9147,115.441337088,59.76312898,41.7485,13.9297081085,157.9946129995,0.0001969614704725479,0.008381355796953092,0.0007802071563460684,0.0,0.0,0.02273749550616956,0.011771033763941343,0.0018080768845682074,0.005301158889327485,0.002743615792303534
12, 01/01  13:00:00,41.855074748,3.96121715823,0.0,0.0,9.179850659269999,26.9147,102.64098893799999,49.3126598673,41.7485,11.579829070499999,144.49606368599999,0.00018013371874381283,0.007539510262657495,0.0007135487774637684,0.0,0.0,0.018489103032944494,0.008882872803045524,0.0016536006367671467,0.004848244999874099,0.0020859176728868743
13, 01/01  14:00:00,34.3423652068,3.96121715823,0.0,0.0,9.179850659269999,19.4245,91.2551246592,46.2764419438,33.3988,11.5798827154,125.597489866,0.00015657411238284802,0.005377125349382312,0.0006202240605055699,0.0,0.0,0.014288190143900387,0.007245692821586883,0.0014373269687823023,0.003041373845980631,0.001813109857661239
14, 01/01  15:00:00,34.343513247800004,3.96121715823,0.0,0.0,9.179850659269999,19.4245,82.869958322,49.1539074546,25.0491,8.66695086738,117.2134715698,0.00014612230937046606,0.005018353467663732,0.0005788221990784825,0.0,0.0,0.012109149687444913,0.0071824824718483195,0.0013413809780085276,0.0028383527983666178,0.0012664348759419295
15, 01/01  16:00:00,34.3241653985,3.96121715823,0.0,0.0,9.179850659269999,19.4245,96.55068217719999,54.484649966899994,33.3988,8.66723221032,130.8748475757,0.00016315304640457596,0.005600092150059811,0.0006462846468353017,0.0,0.0,0.015752537929650173,0.008889336624386712,0.0014977206005989552,0.0031691663498856853,0.0014140853390095744
16, 01/01  17:00:00,43.856236366000005,3.96121715823,0.00390815986385,0.0,9.179850659269999,26.9147,118.189115445,59.4241617605,50.0982,8.66675368474,162.045351811,0.0002020112595613429,0.008859453547915633,0.0008002104675300457,7.894922966634248e-07,0.0,0.023875532077485415,0.012004349765615593,0.0018544331942641564,0.0054370724477156756,0.001750781828162237
17, 01/01  18:00:00,45.9681257246,3.96121715823,0.0,0.0,9.179850659269999,26.9147,124.31140931600001,62.6323318799,50.0982,11.5808774356,170.27953504060002,0.00021227627307194625,0.009757942408920747,0.0008408724151777105,0.0,0.0,0.0263883626699217,0.013295357985270418,0.001948664485306884,0.005713352206849512,0.002458345500932166
18, 01/01  19:00:00,45.9682592571,3.96121715823,0.0,0.0,9.179850659269999,26.9147,123.837095692,59.811395411099994,50.0982,13.927500280799999,169.8053549491,0.00021168514400547012,0.00973079758052,0.0008385308245768568,0.0,0.0,0.026214473434780203,0.012661183850766818,0.0019432380087562795,0.005697442145364027,0.002948244902577373
19, 01/01  20:00:00,38.609464396199996,3.96121715823,0.0,0.0,9.179850659269999,19.4245,107.28460852299999,59.3753795359,33.3988,14.510428986900001,145.89407291919997,0.00018187652471091337,0.007022155205330598,0.0007204524103641127,0.0,0.0,0.019512551753134075,0.010798987683380976,0.0016695993352732143,0.0035328605542471365,0.0026391063962018717
20, 01/01  21:00:00,38.587529556199996,3.96121715823,0.0,0.0,9.179850659269999,19.4245,104.660301889,59.6851161791,33.3988,11.5763857103,143.2478314452,0.00017857762988121353,0.006890869571117471,0.0007073847715615095,0.0,0.0,0.018689988653989915,0.01065842658644855,0.001639315973395932,0.003468781171627632,0.0020672835227361227
21, 01/01  22:00:00,38.5085225558,3.96121715823,0.0,0.0,9.179850659269999,19.4245,108.58082305200001,69.6060645525,25.0491,13.9256584999,147.0893456078,0.00018336659239039232,0.007061176559045607,0.0007263548920229887,0.0,0.0,0.019910095521989402,0.012763426866697604,0.001683277934043036,0.003561804373887175,0.0025535005459189656
22, 01/01  23:00:00,38.3946009288,3.96121715823,0.0,0.0,9.179850659269999,19.4245,104.06446925600001,75.78550919930001,16.6994,11.579560056300002,142.4590701848,0.00017759433320577148,0.006818663550651931,0.0007034897198991178,0.0,0.0,0.018481260027931826,0.013459076972909545,0.001630289456761617,0.0034496811253555077,0.0020564642470147845
23, 01/01  24:00:00,39.2041207953,3.96121715823,0.0,0.0,9.179850659269999,19.4245,92.5906559734,78.47085161529999,8.3497,5.770104358019999,131.7947767687,0.0001642998614962049,0.006441231616748276,0.0006508274304535794,0.0,0.0,0.015212631952272378,0.012892750051883036,0.001508248191873906,0.003191442659633032,0.0009480273468413342
24, 01/02  01:00:00,22.444190838,3.96121715823,0.0,0.0,4.589925329630001,8.1892,100.877412101,91.76924536959999,3.3398800000000004,5.76828673095,123.321602939,0.0001537369141565225,0.003450500640174215,0.0006089853022101495,0.0,0.0,0.015508582044503581,0.014108320597595043,0.0007056409563861757,0.001258982337410594,0.000886798601986268
25, 01/02  02:00:00,14.6393706493,0.0,0.0,0.0,1.52997510988,7.4902,3.9319402957699996,0.0,3.3398800000000004,0.592060295768,18.57131094507,2.315162930495286e-05,0.00033892528253040067,0.0,0.0,0.0,9.103082417687374e-05,0.0,3.542141658974628e-05,0.0001734103338199579,1.3707160493801488e-05
26, 01/02  03:00:00,14.6595685017,0.0,0.0,0.0,1.52997510988,7.4902,3.3598800000000004,0.0,3.3398800000000004,0.02,18.0194485017,2.2463658770507666e-05,0.00032930754454507113,0.0,0.0,0.0,7.547519782985331e-05,0.0,3.436883879571429e-05,0.0001682572969228565,4.4927317541015334e-07
27, 01/02  04:00:00,14.6716912823,0.0,0.0,0.0,1.52997510988,7.4902,3.9319462178800006,0.0,3.3398800000000004,0.592066217885,18.60363750018,2.319192869053886e-05,0.0003402648179887022,0.0,0.0,0.0,9.118941630010695e-05,0.0,3.548307364663632e-05,0.00017371218427787418,1.3731157505265965e-05
28, 01/02  05:00:00,14.821618787,0.0,0.0,0.0,1.52997510988,7.4902,3.3598800000000004,0.0,3.3398800000000004,0.02,18.181498787000002,2.2665676180324576e-05,0.0003359420118943571,0.0,0.0,0.0,7.615395208474894e-05,0.0,3.4677920404496596e-05,0.00016977044772586715,4.533135236064915e-07
29, 01/02  06:00:00,22.5520658491,3.96121715823,0.0026362483607199998,0.0,4.589925329630001,8.1892,117.117787856,108.748087856,8.3497,0.02,139.6698537051,0.00017411720086006475,0.003926702579257152,0.0006897160435898678,4.590161853405006e-07,0.0,0.020392221392409603,0.01893491265637112,0.0007991849505518857,0.001425880581283242,3.482344017201295e-06
30, 01/02  07:00:00,38.515153784,3.96121715823,0.0109614326901,0.0,9.179850659269999,19.4245,125.39271770299999,104.07900241,16.6994,4.61431529265,163.907871487,0.0002043331400812197,0.00786992231339579,0.0008094079404847416,2.239783961357064e-06,0.0,0.025621887751571933,0.02126678937895613,0.0018757477106852935,0.003969069079507652,0.0009428575330719666
