,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Gas:Facility [kW](Monthly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/02  01:00:00,12.569683660399999,0.0,0.0,0.0,1.9101197470500002,2.3935639134,0.0,0.0,,,12.569683660399999,2.3287280474519666e-05,0.0002927137488757218,0.0,0.0,0.0,0.0,0.0,4.448149428947191e-05,5.57395941850347e-05,0
1, 01/02  02:00:00,12.569683660399999,0.0,0.0,0.0,1.9101197470500002,2.3935639134,0.0,0.0,,,12.569683660399999,2.3287280474519666e-05,0.0002927137488757218,0.0,0.0,0.0,0.0,0.0,4.448149428947191e-05,5.57395941850347e-05,0
2, 01/02  03:00:00,12.669633398199998,0.08575460059969998,0.0,0.014195137144599999,1.9101197470500002,2.3935639134,2.5271559721,2.5271559721,,,15.1967893703,2.8154399580738016e-05,0.00035670592123438643,2.4143692911705495e-06,0.0,3.9965556327244483e-07,7.115055904135182e-05,7.115055904135182e-05,5.377827460550393e-05,6.738935483989861e-05,0
3, 01/02  04:00:00,12.796258556,0.147059301925,0.0,0.0795155936647,1.9101197470500002,2.3935639134,4.19005742107,4.19005742107,,,16.98631597707,3.1469774027253106e-05,0.0004026953651516241,4.627923000185337e-06,0.0,2.502337764270988e-06,0.0001318601602022878,0.0001318601602022878,6.0111036804657366e-05,7.532491547448562e-05,0
4, 01/02  05:00:00,12.9776078826,0.276896328083,0.0,0.13102789404100001,1.9101197470500002,2.3935639134,8.024746233330001,8.024746233330001,,,21.00235411593,3.891010499044496e-05,0.0005049600852367921,1.0774065197178223e-05,0.0,5.098309113812208e-06,0.0003122437184605481,0.0003122437184605481,7.432295990203768e-05,9.31338231717343e-05,0
5, 01/02  06:00:00,13.0355836352,0.292911789697,0.0,0.172988185041,1.9101197470500002,2.3935639134,8.35346645534,8.35346645534,,,21.38905009054,3.962651901186387e-05,0.0005165548027509944,1.1607074603227243e-05,0.0,6.854919603355012e-06,0.0003310187973074976,0.0003310187973074976,7.569139647141344e-05,9.484860592045638e-05,0
6, 01/02  07:00:00,26.853474824499997,12.400817818599998,0.0,1.8829733454799997,1.9101197470500002,2.3935639134,242.211614074,242.211614074,,,269.0650888985,0.000498484636556203,0.01338604463816203,0.0061816171633045066,0.0,0.0009386332837666154,0.12073876841136921,0.12073876841136921,0.0009521653478870458,0.001193154837445242,0
7, 01/02  08:00:00,29.029625178000003,12.400817818599998,0.0,1.44586721104,7.640478988200001,4.7871278268,196.878480498,196.878480498,,,225.908105676,0.00041852965917656425,0.01214975913177175,0.0051901100551293225,0.0,0.0006051383110511406,0.08239948334202779,0.08239948334202779,0.0031977670668770467,0.0020035549777852506,0
8, 01/02  09:00:00,40.8327602975,12.400817818599998,0.0,0.953271311506,19.1011974705,8.377473696900001,173.79656970599999,173.79656970599999,,,214.6293300035,0.000397633985141253,0.01623649320141246,0.004930986608220577,0.0,0.00037905307051495956,0.06910742261607634,0.06910742261607634,0.007595285271164937,0.003331168251514373,0
9, 01/02  10:00:00,58.0631723678,12.400817818599998,0.0,0.509161492066,34.3821554469,10.7710376103,145.00372169,145.00372169,,,203.0668940578,0.0003762127866361177,0.021844107877423267,0.004665346228102328,0.0,0.0001915530637779534,0.054552254209602954,0.054552254209602954,0.012935006511234422,0.004052202074333393,0
10, 01/02  11:00:00,57.7423600906,12.400817818599998,0.0,0.18834921480900002,34.3821554469,10.7710376103,128.342535629,128.342535629,,,186.0848957196,0.000344751011701767,0.019906737059282087,0.004275194488891649,0.0,6.493358235863619e-05,0.04424621900246783,0.04424621900246783,0.011853282874806194,0.003713326113228708,0
