,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,201.98531300599998,9.499490443660001,73.8594731099,0.0,43.513341876000005,52.53974399999999,78.8616995915,74.0074395915,4.83426,0.02,280.8470125975,5.270198938005015e-05,0.010645027820968317,0.0005006420444776573,0.003892541167454049,0.0,0.004156168454363938,0.0039003392953959365,0.002293239681439444,0.0027689490303185534,1.0540397876010031e-06
1, 01/01  02:00:00,194.329839535,12.0112237143,63.8467750708,0.0,43.513341876000005,52.53974399999999,63.180358341899996,58.32609834189999,4.83426,0.02,257.5101978769,4.8322749059157355e-05,0.00939055207055612,0.0005804153494395188,0.0030852516899827318,0.0,0.0030530486016232725,0.002818477413775367,0.0021026843001992718,0.002538864864944368,9.664549811831472e-07
2, 01/01  03:00:00,211.705131215,12.8433570588,80.12265414310001,0.0,43.513341876000005,52.53974399999999,84.7658544074,79.9115944074,4.83426,0.02,296.4709856224,5.563388619040561e-05,0.011777979175940196,0.0007145258649120218,0.004457534621870456,0.0,0.004715853896933783,0.004445792548555145,0.002420816309693595,0.0029229901381690455,1.1126777238081123e-06
3, 01/01  04:00:00,193.17297019,10.759008509500001,63.9654090523,0.0,43.513341876000005,52.53974399999999,66.1920315632,61.3377715632,4.83426,0.02,259.3650017532,4.86708099243478e-05,0.009401884914639193,0.0005236496581403151,0.003113248265717649,0.0,0.003221619786718937,0.0029853590209355726,0.0021178295916199595,0.0025571518936978923,9.73416198486956e-07
4, 01/01  05:00:00,214.772587265,16.341610480699998,79.2900604063,0.0,43.513341876000005,52.53974399999999,91.49698967469999,86.64272967469999,4.83426,0.02,306.26957693969996,5.74726283965899e-05,0.012343545097655522,0.0009391953065590898,0.0045570081772744455,0.0,0.005258572486980655,0.004979585405860225,0.0025008261279331223,0.003019597182963963,1.149452567931798e-06
5, 01/01  06:00:00,190.195125467,8.28770453881,63.0765467787,0.0,43.513341876000005,52.53974399999999,78.7394379387,65.2938792845,4.83426,8.61129865415,268.9345634057,5.046657385972775e-05,0.009598496347140542,0.0004182520532354558,0.003183257206823836,0.0,0.003973709660406852,0.0032951583814993667,0.0021959692816687386,0.0026515008711471876,0.00043458273955783515
6, 01/01  07:00:00,214.91415424,17.5689808563,78.2139255822,0.0,43.513341876000005,52.53974399999999,96.36379503120001,91.5095350312,4.83426,0.02,311.2779492712,5.841246814416214e-05,0.012553666188273548,0.0010262475345940182,0.004568668436500126,0.0,0.005628847107510541,0.005345297799897059,0.002541721696177887,0.0030689761227024335,1.1682493628832428e-06
7, 01/01  08:00:00,178.99074594200002,9.10595145589,63.1046269846,0.0,43.513341876000005,52.53974399999999,62.8374295996,57.983169599600004,4.83426,0.02,241.82817554160002,4.537995907920068e-05,0.008122592726403565,0.0004132277044454761,0.002863685390269371,0.0,0.0028515599838720017,0.002631273863712201,0.0019746336737321494,0.002384251432751679,9.075991815840136e-07
8, 01/01  09:00:00,185.677876085,5.24558744182,79.3500888791,0.0,43.513341876000005,52.53974399999999,72.61756016529999,67.7633001653,4.83426,0.02,258.2954362503,4.847010196860433e-05,0.00899982558715383,0.0002542541581902457,0.0038461068991877934,0.0,0.0035197805459233505,0.0032844940687412334,0.0021090961177244612,0.0025466067490843673,9.694020393720866e-07
9, 01/01  10:00:00,170.733388591,4.19646995345,65.6681760873,0.0,43.513341876000005,52.53974399999999,50.5085082071,37.0539215401,4.83426,8.620326666930001,221.2418967981,4.1516867092996844e-05,0.00708831540246953,0.0001742242853171383,0.0027263369388559476,0.0,0.002096955022299711,0.0015383627358546647,0.0018065376314380262,0.002181285568748078,0.00035788895652914934
10, 01/01  11:00:00,196.927258867,5.24558744182,90.4479767586,0.0,43.513341876000005,52.53974399999999,43.8559804863,39.0017204863,4.83426,0.02,240.78323935330002,4.518387290620107e-05,0.008897936236413086,0.00023701595628955927,0.004086789886483611,0.0,0.001981583048469813,0.0017622487815761579,0.001966101309049261,0.0023739491154203397,9.036774581240214e-07
11, 01/01  12:00:00,184.513684848,4.19646995345,78.3649705117,0.0,43.513341876000005,52.53974399999999,30.000141670900003,25.145881670900003,4.83426,0.02,214.5138265189,4.025431961163622e-05,0.007427472842592112,0.00016892604274680448,0.003154528569334419,0.0,0.001207635291214775,0.0010122303576967939,0.0017515999712468986,0.002114951647289546,8.050863922327244e-07
12, 01/01  13:00:00,214.28193125099997,5.24558744182,107.61521206,0.0,43.513341876000005,52.53974399999999,39.5006099251,26.0460154166,4.83426,8.62033450849,253.78254117609998,4.762324037633014e-05,0.010204799920270622,0.00024981187165685256,0.005124985112083123,0.0,0.0018811470414746895,0.0012403956530303425,0.0020722463397381805,0.002502112857822849,0.00041052826242219304
13, 01/01  14:00:00,193.76558734099999,4.01726061045,88.5609605646,0.0,43.513341876000005,52.53974399999999,20.1050320978,15.2507720978,4.83426,0.02,213.8706194388,4.0133619404106554e-05,0.00777651433595686,0.00016122720838690908,0.0035542718853617456,0.0,0.0008068877063204512,0.0006120686829918729,0.0017463479018521562,0.0021086100892851907,8.026723880821311e-07
14, 01/01  15:00:00,125.534471305,1.25446540105,24.020504576900002,0.0,43.513341876000005,52.53974399999999,7.98060847105,3.12634847105,4.83426,0.02,133.51507977605,2.5054602686902755e-05,0.00314521630205717,3.143013220777387e-05,0.0006018241985131588,0.0,0.00019995097444188822,7.832941880296365e-05,0.001090209492282548,0.0013163624111915827,5.010920537380551e-07
15, 01/01  16:00:00,127.41809940600001,1.4336747440600002,25.7136187659,0.0,43.513341876000005,52.53974399999999,7.657655599069999,2.80339559907,4.83426,0.02,135.07575500507002,2.5347469214428897e-05,0.0032297263520546264,3.634002643856508e-05,0.0006517751600602114,0.0,0.00019410218955212587,7.105898364329228e-05,0.00110295309361883,0.0013317495435739752,5.069493842885779e-07
16, 01/01  17:00:00,132.871122766,1.4336747440600002,22.4596193303,0.0,43.513341876000005,52.53974399999999,9.25720109037,4.40294109037,4.83426,0.02,142.12832385637,2.667091006311604e-05,0.0035437937652772365,3.823741015858517e-05,0.0005990184872102538,0.0,0.000246897977717438,0.00011743044583445634,0.001160540427720417,0.0014012827869631403,5.334182012623208e-07
