,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Gas:Facility [kW](Monthly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/02  01:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836000002,1.797673824,0.0,0.0,,,15.1069992076,2.9018459897684797e-05,0.00043838185068009657,0.0,0.0,0.0,0.0,0.0,5.293911298432504e-05,5.216572577086168e-05,0
1, 01/02  02:00:00,15.1520002681,0.04500106051780001,0.0,0.0,1.8243253836000002,1.797673824,1.3861977912799999,1.3861977912799999,,,16.53819805938,3.17675953093751e-05,0.0004813426126445438,1.4295754790221685e-06,0.0,0.0,4.403617045213265e-05,4.403617045213265e-05,5.7954430498825296e-05,5.7107774539088805e-05,0
2, 01/02  03:00:00,15.1994284285,0.0924292208561,0.0,0.0,1.8243253836000002,1.797673824,2.7643124655699998,2.7643124655699998,,,17.96374089407,3.450586629307071e-05,0.0005244694450849187,3.1893503364332893e-06,0.0,0.0,9.538499632922704e-05,9.538499632922704e-05,6.294992776155654e-05,6.203029260949713e-05,0
3, 01/02  04:00:00,15.267377359700001,0.160378152065,0.0,0.0,1.8243253836000002,1.797673824,4.69359329922,4.69359329922,,,19.96097065892,3.8342268945995025e-05,0.0005853858888256128,6.149262239537917e-06,0.0,0.0,0.00017996301660181332,0.00017996301660181332,6.994877450299675e-05,6.892689323698333e-05,0
4, 01/02  05:00:00,15.3097657502,0.20276654261500002,0.0,0.0,1.8243253836000002,1.797673824,5.930874986519999,5.930874986519999,,,21.24064073672,4.080033850200752e-05,0.0006246436249946011,8.272943575573734e-06,0.0,0.0,0.00024198170706310525,0.00024198170706310525,7.443309318868473e-05,7.33457005353983e-05,0
5, 01/02  06:00:00,15.4625651653,0.35556595771300004,0.0,0.0,1.8243253836000002,1.797673824,10.4977601128,10.4977601128,,,25.9603252781,4.9866200935154264e-05,0.0007710593815057666,1.7730723493017024e-05,0.0,0.0,0.0005234834151539325,0.0005234834151539325,9.097217614969999e-05,8.964316412345115e-05,0
6, 01/02  07:00:00,23.7223870271,8.6153878195,0.0,0.0,1.8243253836000002,1.797673824,250.59517002200002,250.59517002200002,,,274.3175570491,0.0005269261564835147,0.012499946218804193,0.004539673190344024,0.0,0.0,0.13204514977302534,0.13204514977302534,0.0009612847625556616,0.0009472413586913423,0
7, 01/02  08:00:00,23.336370335199998,8.6153878195,0.0,0.0,7.297301534400001,3.595347648,212.378542892,212.378542892,,,235.71491322720001,0.0004527758069470646,0.010566143909735719,0.003900839172136024,0.0,0.0,0.09615986613616707,0.09615986613616707,0.0033040415907740132,0.0016278864325784308,0
8, 01/02  09:00:00,33.150500039499995,8.6153878195,0.0,0.0,18.243253835999997,6.291858384,182.993651768,182.993651768,,,216.1441518075,0.000415183076079705,0.01376352657997999,0.0035769632165196324,0.0,0.0,0.07597586724409659,0.07597586724409659,0.007574290245333357,0.0026122731181270017,0
9, 01/02  10:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,147.30344715200002,147.30344715200002,,,196.84622408430002,0.0003781144210775669,0.01873283841833165,0.003257602377728964,0.0,0.0,0.055697557642608454,0.055697557642608454,0.012416467252986434,0.003058768787616251,0
10, 01/02  11:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,124.98617281899999,124.98617281899999,,,174.5289497513,0.00033524601807056917,0.016609018690712022,0.002888274460621059,0.0,0.0,0.04190111675144975,0.04190111675144975,0.011008760769305345,0.002711983460785619,0
11, 01/02  12:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,103.70531418799999,103.70531418799999,,,153.2480911203,0.0002943684265458868,0.014583829292275006,0.002536098156508814,0.0,0.0,0.030527570161968387,0.030527570161968387,0.009666428268204961,0.0023813028675612334,0
12, 01/02  13:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,93.10816644479999,93.10816644479999,,,142.6509433771,0.0002740127687087442,0.013575353476739225,0.0023607262699207854,0.0,0.0,0.025512826476934237,0.025512826476934237,0.0089979920889458,0.0022166351178726407,0
13, 01/02  14:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,85.524187394,85.524187394,,,135.0669643263,0.00025944499195002126,0.01285362536238227,0.0022352192234764887,0.0,0.0,0.022188822109968438,0.022188822109968438,0.008519617520321786,0.0020987886185839977,0
14, 01/02  15:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,80.1221420754,80.1221420754,,,129.6649190077,0.00024906840866639946,0.012339540611442363,0.0021458209342467465,0.0,0.0,0.01995589442566305,0.01995589442566305,0.008178872763293474,0.0020148469139021448,0
15, 01/02  16:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,79.086355202,79.086355202,,,128.6291321343,0.00024707880507701256,0.012240970124629665,0.002128679727717109,0.0,0.0,0.019540562141206336,0.019540562141206336,0.00811353844532791,0.001998751951584647,0
16, 01/02  17:00:00,55.28527693229999,8.6153878195,0.0,0.0,32.8378569048,8.089532208,88.5887522739,88.5887522739,,,143.8740292062,0.00027636214773468006,0.01527875787111699,0.002380967081364222,0.0,0.0,0.024482577843550526,0.024482577843550526,0.00907514066121462,0.0022356404951717483,0
