,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,75.7849378409,0.0,0.0,0.0,3.4936900082199998,6.8129867293599995,1.77125,0.0,1.75125,0.02,77.5561878409,3.136463494938037e-05,0.0023769669100413113,0.0,0.0,0.0,5.5554609654089985e-05,0.0,0.00010957831173411801,0.00021368684168134933,6.272926989876075e-07
1, 01/01  02:00:00,76.0609932507,0.0,0.0,0.0,3.4936900082199998,6.8129867293599995,1.77125,0.0,1.75125,0.02,77.83224325069999,3.1476275005386486e-05,0.0023941167407418784,0.0,0.0,0.0,5.5752352103290817e-05,0.0,0.00010996834748230369,0.00021444744390138398,6.295255001077297e-07
2, 01/01  03:00:00,75.9356471533,0.0,0.0,0.0,3.4936900082199998,6.8129867293599995,2.91557494726,0.0,1.75125,1.1643249472600001,78.85122210056,3.188836204236878e-05,0.0024214634083460002,0.0,0.0,0.0,9.297290947988714e-05,0.0,0.0001114080518459257,0.00021725498741568562,3.712841545318882e-05
3, 01/01  04:00:00,83.7615754146,7.832329290860001,0.0,0.0,3.4936900082199998,6.8129867293599995,14.820334558199999,13.049084558199999,1.75125,0.02,98.5819099728,3.9867684384545844e-05,0.0033393800521816074,0.0003122568321638403,0.0,0.0,0.0005908524206396953,0.0005202367846735684,0.00013928533058515631,0.0002716180046422237,7.973536876909168e-07
4, 01/01  05:00:00,90.3604155975,7.832329290860001,0.0,0.0,3.4936900082199998,6.8129867293599995,16.4244909747,14.653240974700001,1.75125,0.02,106.78490657219999,4.3185072732191107e-05,0.003902221119689053,0.00033823971008825995,0.0,0.0,0.0007092928373316359,0.0006328012772547425,0.00015087525710871002,0.0002942193274308644,8.637014546438222e-07
5, 01/01  06:00:00,93.8359174835,11.748493936300001,0.0,0.0,3.4936900082199998,6.8129867293599995,27.470144004,24.5545832988,1.75125,1.1643107051700001,121.3060614875,4.9057598647158776e-05,0.004603364778593452,0.000576352900235584,0.0,0.0,0.0013476192993278873,0.0012045888924207583,0.00017139204222084558,0.0003342287685573618,5.7118287274820276e-05
6, 01/01  07:00:00,122.555722635,26.9939304041,0.0,0.0,6.9873800164499995,14.149973458699998,429.200244305,425.677744305,3.5025,0.02,551.75596694,0.00022313660542104676,0.027346667923697242,0.006023333997342859,0.0,0.0,0.09577028556010166,0.09498428686750601,0.0015591402576575109,0.003157377044372226,4.462732108420935e-06
7, 01/01  08:00:00,121.479388483,26.9939304041,0.0,0.0,6.9873800164499995,14.149973458699998,393.71846208,390.19596208,3.5025,0.02,515.197850563,0.00020835207298691282,0.02531048241561555,0.005624241357758688,0.0,0.0,0.08203205774758722,0.08129813757049083,0.0014558351111746864,0.002948176302829941,4.167041459738257e-06
8, 01/01  09:00:00,153.338079456,26.9939304041,0.0,0.0,6.9873800164499995,14.149973458699998,349.68485387199996,345.01794655199996,3.5025,1.16440732027,503.02293332799997,0.0002034283931975187,0.031193319119727534,0.005491331888191709,0.0,0.0,0.07113582794869008,0.07018644649138074,0.0014214314894068752,0.002878506364490877,0.00023687351018995465
9, 01/01  10:00:00,126.10481799200001,26.9939304041,0.0,0.0,6.9873800164499995,14.149973458699998,334.184707515,330.662207515,3.5025,0.02,460.289525507,0.00018614650024014164,0.02347397053263085,0.005024825672449167,0.0,0.0,0.062207313737692616,0.06155161269059671,0.0013006763359100708,0.002633968037827897,3.722930004802833e-06
