,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Gas:Facility [kW](Monthly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,20.1041432874,4.68831901295,0.0,0.0,5.48122459637,1.0115996781,93.60395953790001,93.60395953790001,,,113.70810282530002,0.00023336669901267675,0.004691637555458402,0.0010940975319705124,0.0,0.0,0.021844047051875884,0.021844047051875884,0.0012791352906019583,0.0002360736776004834,0
1, 01/01  02:00:00,18.710238818900002,3.29441454444,0.0,0.0,5.48122459637,1.0115996781,62.3235926021,62.3235926021,,,81.033831421,0.00016630826895531401,0.0031116674297117786,0.0005478883801070258,0.0,0.0,0.010364928800731466,0.010364928800731466,0.0009115729743775844,0.00016823739134056389,0
2, 01/01  03:00:00,19.525794920899997,4.10997064646,0.0,0.0,5.48122459637,1.0115996781,80.21528795649999,80.21528795649999,,,99.74108287739999,0.000204701746741919,0.00399696432683272,0.000841318170388376,0.0,0.0,0.016420209560101567,0.016420209560101567,0.0011220162491617088,0.000207076221110633,0
3, 01/01  04:00:00,18.4878356877,3.07201141321,0.0,0.0,5.48122459637,1.0115996781,59.7824278807,59.7824278807,,,78.2702635684,0.00016063651213909423,0.0029698214418728006,0.0004934771986695441,0.0,0.0,0.009603240701962591,0.009603240701962591,0.0008804848014118913,0.00016249984397101447,0
4, 01/01  05:00:00,19.5527926377,4.13696836328,0.0,0.0,5.48122459637,1.0115996781,80.81823812479999,80.81823812479999,,,100.3710307625,0.00020599460850676324,0.004027769864616934,0.0008521931783987287,0.0,0.0,0.01664812132272454,0.01664812132272454,0.0011291027148668796,0.00020838407965577724,0
5, 01/01  06:00:00,18.636081280899997,3.2202570064700002,0.0,0.0,5.48122459637,1.0115996781,61.3873608387,61.3873608387,,,80.02344211959999,0.00016423461536223884,0.0030606896410280303,0.0005288776708251552,0.0,0.0,0.010081929595446858,0.010081929595446858,0.0009002068132988697,0.00016613968403331812,0
6, 01/01  07:00:00,19.801693997,4.38586972253,0.0,0.0,5.48122459637,1.0115996781,83.2825831183,83.2825831183,,,103.0842771153,0.00021156308893365008,0.004189307548124236,0.0009278881461590176,0.0,0.0,0.01761952053888101,0.01761952053888101,0.0011596248067471365,0.0002140171526631221,0
7, 01/01  08:00:00,12.778242903599999,3.31108529583,0.0,0.0,5.48122459637,1.0115996781,61.9963612507,61.9963612507,,,74.7746041543,0.00015346226089338973,0.001960978046231369,0.0005081266355089299,0.0,0.0,0.00951410176469576,0.00951410176469576,0.0008411611190233977,0.00015524237372025127,0
8, 01/01  09:00:00,10.721494762899999,4.228670488430001,0.0,0.0,5.48122459637,1.0115996781,79.9644705874,79.9644705874,,,90.6859653503,0.00018611764557440767,0.00199545936230929,0.0007870301952165723,0.0,0.0,0.01488279899533086,0.01488279899533086,0.0010201526167409173,0.0001882765503518007,0
9, 01/01  10:00:00,9.373318528250001,2.8804942537900002,0.0,0.0,5.48122459637,1.0115996781,55.8375536887,55.8375536887,,,65.21087221695,0.00013383431444976217,0.0012544716593475926,0.0003855089737324639,0.0,0.0,0.007472980718478953,0.007472980718478953,0.0007335759362003533,0.0001353867494161136,0
10, 01/01  11:00:00,10.0073304821,3.51450620759,0.0,0.0,5.48122459637,1.0115996781,68.0845408508,68.0845408508,,,78.0918713329,0.00016027039216968373,0.0016038787809377973,0.0005632712881732372,0.0,0.0,0.010911936062850567,0.010911936062850567,0.0008784780156303362,0.00016212947712781282,0
11, 01/01  12:00:00,8.87724682595,2.38442255148,0.0,0.0,5.48122459637,1.0115996781,45.9427783225,45.9427783225,,,54.82002514845,0.00011250885372998437,0.0009987688646657766,0.00026826864807493947,0.0,0.0,0.005168969326235249,0.005168969326235249,0.0006166862963741849,0.00011381392021665219,0
12, 01/01  13:00:00,9.369960665019999,2.87713639055,0.0,0.0,5.48122459637,1.0115996781,55.421743289300004,55.421743289300004,,,64.79170395432,0.00013297404230248056,0.0012459615458429482,0.00038258445610700193,0.0,0.0,0.007369653236628597,0.007369653236628597,0.0007288605913471013,0.00013451649838884514,0
13, 01/01  14:00:00,8.38531223527,1.8924879608099998,0.0,0.0,5.48122459637,1.0115996781,36.2688568162,36.2688568162,,,44.65416905147,9.164514902430472e-05,0.0007684731894166448,0.00017343734119513497,0.0,0.0,0.003323864787861819,0.003323864787861819,0.0005023276449700131,9.270820325241319e-05,0
14, 01/01  15:00:00,8.91332222888,2.42049795442,0.0,0.0,5.48122459637,1.0115996781,46.3987833329,46.3987833329,,,55.31210556178,0.0001135187657666318,0.0010118293383027412,0.0002747719403264154,0.0,0.0,0.005267132617024176,0.005267132617024176,0.0006222218510696269,0.00011483554690783404,0
15, 01/01  16:00:00,8.37203167997,1.8792074055,0.0,0.0,5.48122459637,1.0115996781,35.9356749885,35.9356749885,,,44.30770666847,9.09340934298147e-05,0.0007613031109837606,0.00017088402178573668,0.0,0.0,0.003267778026867714,0.003267778026867714,0.0004984301895561079,9.198889964191588e-05,0
16, 01/01  17:00:00,13.9712721628,3.01694788834,0.0,0.0,5.48122459637,1.0115996781,58.1835727034,58.1835727034,,,72.15484486620001,0.00014808564689595992,0.0020689448761877552,0.0004467666796962291,0.0,0.0,0.008616152002501105,0.008616152002501105,0.0008116906901354982,0.00014980339273118332,0
17, 01/01  18:00:00,18.0992311068,2.68340683235,0.0,0.0,5.48122459637,1.0115996781,51.9621398693,51.9621398693,,,70.06137097610001,0.00014378914489598845,0.002602472964121647,0.0003858447738316596,0.0,0.0,0.0074715916587723965,0.0074715916587723965,0.0007881405976949017,0.00014545705269105618,0
18, 01/01  19:00:00,19.3646284473,3.94880417286,0.0,0.0,5.48122459637,1.0115996781,76.8846806273,76.8846806273,,,96.2493090746,0.00019753547005792296,0.0038252009828344323,0.0007800288884525878,0.0,0.0,0.015187451527966989,0.015187451527966989,0.0010827362771369969,0.00019982681792392708,0
19, 01/01  20:00:00,18.5031756474,3.08735137296,0.0,0.0,5.48122459637,1.0115996781,59.956280276499996,59.956280276499996,,,78.4594559239,0.00016102479753287395,0.002979470112337789,0.0004971401297437244,0.0,0.0,0.009654447892347656,0.009654447892347656,0.0008826130808626879,0.00016289263335037297,0
20, 01/01  21:00:00,19.6583270617,4.2425027872,0.0,0.0,5.48122459637,1.0115996781,82.7418828411,82.7418828411,,,102.40020990279999,0.00021015915637900007,0.0041313774311093395,0.0008916008066935085,0.0,0.0,0.017388964295095635,0.017388964295095635,0.0011519295370969443,0.00021259693494276406,0
21, 01/01  22:00:00,18.6821644201,3.2663401456700005,0.0,0.0,5.48122459637,1.0115996781,63.48912695640001,63.48912695640001,,,82.17129137650001,0.00016864271362969198,0.003150610904281745,0.0005508444658033923,0.0,0.0,0.010706978655907324,0.010706978655907324,0.0009243685899456499,0.0001705989148217069,0
22, 01/01  23:00:00,20.0751307361,4.65930646159,0.0,0.0,5.48122459637,1.0115996781,91.4649798258,91.4649798258,,,111.54011056190001,0.00022891726062241534,0.0045955439347448645,0.0010665956715875018,0.0,0.0,0.02093791262460662,0.02093791262460662,0.0012547469194572245,0.00023157262715716917,0
23, 01/01  24:00:00,19.0691403838,3.6533161093800004,0.0,0.0,5.48122459637,1.0115996781,75.8911503824,75.8911503824,,,94.9602907662,0.00019488997743141788,0.003716384339035321,0.0007119946941069037,0.0,0.0,0.014790424585270277,0.014790424585270277,0.0010682357378830817,0.0001971506384345386,0
24, 01/02  01:00:00,20.4049753797,4.98915110528,0.0,0.0,5.48122459637,1.0115996781,108.32740271,108.32740271,,,128.7323780897,0.0002642014894664202,0.005391024887842373,0.0013181411531880127,0.0,0.0,0.028620261146010722,0.028620261146010722,0.0014481477024609318,0.0002672661416977712,0
25, 01/02  02:00:00,19.3713407212,3.95551644677,0.0,0.0,5.48122459637,1.0115996781,93.5060489242,93.5060489242,,,112.8773896454,0.0002316618003484414,0.004487599666636267,0.000916342061366608,0.0,0.0,0.021661779637249613,0.021661779637249613,0.001269790358109233,0.0002343490026605498,0
26, 01/02  03:00:00,20.7617446973,5.345920422790001,0.0,0.0,5.48122459637,1.0115996781,125.808692046,125.808692046,,,146.5704367433,0.00030081109565412384,0.006245363170086008,0.001608112179659217,0.0,0.0,0.037844650497169514,0.037844650497169514,0.0016488131763603923,0.00030430040753262,0
27, 01/02  04:00:00,19.5949858185,4.179161544059999,0.0,0.0,5.48122459637,1.0115996781,106.72509673799999,106.72509673799999,,,126.32008255649998,0.00025925065982773714,0.005080013002761277,0.0010834503878242596,0.0,0.0,0.027668551749505575,0.027668551749505575,0.0014210110932729445,0.0002622578840289515,0
28, 01/02  05:00:00,21.0206730791,5.6048488046500005,0.0,0.0,5.48122459637,1.0115996781,139.077695576,139.077695576,,,160.0983686551,0.0003285748938029272,0.0069068654246313334,0.0018416126007693376,0.0,0.0,0.04569743905424004,0.04569743905424004,0.0018009927896622652,0.00033238625680278287,0
29, 01/02  06:00:00,19.7906628466,4.37483857214,0.0,0.0,5.48122459637,1.0115996781,118.43960758600001,118.43960758600001,,,138.2302704326,0.0002836943112492772,0.005614498465432847,0.0012411168155500286,0.0,0.0,0.03360064289874494,0.03360064289874494,0.0015549922366697845,0.00028698507393857,0
30, 01/02  07:00:00,24.156408958000004,8.74058468355,0.0,0.0,5.48122459637,1.0115996781,186.575724348,186.575724348,,,210.732133306,0.0004324921540646664,0.010447457344712426,0.00378023429757317,0.0,0.0,0.08069253691944193,0.08069253691944193,0.0023705866325962927,0.00043750892383259216,0
