,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,16.817062389100002,1.10518364568,0.0,0.0,2.55330491699,7.801573826319999,34.347918194,32.52249986,1.82541833399,,51.164980583100004,0.00012329775617372397,0.002073506058009556,0.00013626666367223998,0.0,0.0,0.00423502124255883,0.0040099512578982525,0.00031481676709220355,0.00096191654740891,0.00022506998465934445
1, 01/01  02:00:00,16.2172402209,1.0940860934899999,0.0,0.0,2.55330491699,7.212849210419999,32.820345233000005,31.765136066,1.0552091669900001,,49.03758545390001,0.00011817114334330869,0.001916409818776845,0.0001292894045837274,0.0,0.0,0.0038784177211057215,0.0037537224473749905,0.0003017269613448002,0.0008523506379582126,0.00012469527372954866
2, 01/01  03:00:00,15.993356114200001,1.16456429468,0.0,0.0,2.55330491699,6.91848690247,34.3322106821,33.8546583904,0.47755229174900005,,50.325566796299995,0.00012127493049815016,0.00193959315118177,0.00014123245389794425,0.0,0.0,0.004163636464319526,0.004105721343334376,0.0003096518763485473,0.0008390390182494114,5.791512099109231e-05
3, 01/01  04:00:00,15.906424958599999,1.22481429313,0.0,0.0,2.55330491699,6.7713057485000006,36.2189440905,35.7413917987,0.47755229174900005,,52.1253690491,0.00012561210754381003,0.001998039562537207,0.0001538515047098412,0.0,0.0,0.004549537900219129,0.004489551550383754,0.0003207260118250868,0.0008505579858926011,5.9986349828968336e-05
4, 01/01  05:00:00,17.998616669,1.24051255573,0.0,0.0,3.82705111198,7.574053001239999,37.2874515516,36.2322423846,1.0552091669900001,,55.2860682206,0.00013322878425011997,0.002397933816994814,0.0001652719796469171,0.0,0.0,0.004967761838004917,0.004827177603555926,0.0005098733669121651,0.0010090818732011776,0.00014058423444765955
5, 01/01  06:00:00,22.501473006799998,1.20475643163,0.0,0.0,6.02426329834,9.91545327661,40.6669717212,35.183059844,5.48391187721,,63.168444728,0.0001522237946185967,0.0034252596056030204,0.00018339259561387853,0.0,0.0,0.006190480751048229,0.0053556988757468525,0.0009170362190548581,0.0015093679231289723,0.000834781875302898
6, 01/01  07:00:00,27.705370750500002,1.09040309521,0.0,0.0,6.51253267309,14.7454349813,50.0470545709,31.6621391465,18.3849154244,,77.75242532140001,0.0001873683810672682,0.0051911104643896306,0.00020430706266023598,0.0,0.0,0.009377235592134757,0.005932483753006282,0.0012202427036045618,0.002762828280578845,0.0034447518391284757
7, 01/01  08:00:00,26.814385432399998,1.0451478375,0.0,0.0,6.01364874671,17.9699221805,49.7796828725,30.2394536977,19.5402291749,,76.59406830489999,0.00018457696359080547,0.004949317843665919,0.00019291021434924657,0.0,0.0,0.009188182713119275,0.005581506544166221,0.0011099810257693848,0.0033168336720397562,0.0036066761689715118
8, 01/01  09:00:00,22.88601616,1.1010799869299999,0.0,0.0,3.66783283761,18.1171033345,50.769862777700006,31.9998427698,18.7700200079,,73.65587893770001,0.0001774964926894071,0.004062187600033093,0.00019543783585057318,0.0,0.0,0.00901147257736423,0.005679859858251982,0.0006510274644468106,0.003215722299565312,0.0033316127191122475
9, 01/01  10:00:00,19.9497876944,0.988483361904,0.0,0.0,3.10526160149,15.8560427302,45.29151198939999,28.8321194825,16.459392506900002,,65.2412996838,0.00015721897612772722,0.0031364851952791,0.00015540834207784053,0.0,0.0,0.007120685142250148,0.004532956304630947,0.0004882060495950043,0.0024928708034795367,0.0025877288376192037
10, 01/01  11:00:00,16.944087955,0.899410325574,0.0,0.0,3.10526160149,12.9394160272,41.125358198200004,26.206384025300004,14.9189741729,,58.069446153200005,0.0001399361893885946,0.0023710911010878847,0.0001258600536575808,0.0,0.0,0.005754925913497108,0.0036672215181546217,0.00043453847556723527,0.0018106925717600757,0.002087704395342486
11, 01/01  12:00:00,17.016483311,0.824624527781,0.0,0.0,3.10526160149,13.086597181199998,36.0172091294,23.9865193327,12.0306897967,,53.0336924404,0.00012780099210412958,0.0021747234492691635,0.00010538783276381117,0.0,0.0,0.0046030350595592335,0.003065500967843944,0.00039685551341328025,0.0016724801030244653,0.0015375340917152891
12, 01/01  13:00:00,16.8419854303,0.7247475677509999,0.0725602333836,0.0,3.10526160149,12.9394160272,30.681062878600002,20.190791415899998,10.490271462699999,,47.5230483089,0.00011452140030633117,0.0019287677554167834,8.299910632745213e-05,8.30969953364407e-06,0.0,0.003513638283743868,0.002312277706241919,0.0003556189069201153,0.0014818400425811286,0.0012013605775019489
13, 01/01  14:00:00,16.3800866705,0.653829610911,0.12312289242499999,0.0,3.10526160149,12.4978725653,26.8926809421,17.5577232299,9.33495771219,,43.2727676126,0.00010427904182226719,0.0017080997429654307,6.818072534082485e-05,1.2839137248465079e-05,0.0,0.002804343000674134,0.0018309025549945342,0.0003238137044108561,0.0013032661759262844,0.0009734404456785567
14, 01/01  15:00:00,16.185983402,0.599225218328,0.130805170493,0.0,3.10526160149,12.350691411300001,24.1486351082,15.9689911465,8.1796439617,,40.3346185102,9.719866795128757e-05,0.00157325602615605,5.824389302430107e-05,1.2714088333060666e-05,0.0,0.0023472151653587373,0.0015521646679657046,0.00030182729130511,0.0012004707534557682,0.0007950504973930327
15, 01/01  16:00:00,17.4986287832,0.587904723149,0.08976159352469999,0.0,4.02872759285,12.7922348732,25.4756177798,16.1406600676,9.33495771219,,42.974246563,0.00010355966354503859,0.0018121521092877202,6.0883215325849503e-05,9.295680424684446e-06,0.0,0.002638246405878091,0.0016715213259954958,0.00041721367403015926,0.0013247595394577014,0.0009667250798815597
16, 01/01  17:00:00,27.60511874,0.630794721468,0.024508164655499997,0.0,6.50191812146,17.7693977319,29.0023138633,18.1269378171,10.8753760462,,56.6074326033,0.00013641301810730238,0.0037656975625338525,8.604861176160504e-05,3.3432327089274694e-06,0.0,0.00395629316618801,0.0024727502966740067,0.0008869462744349205,0.0024239771745575324,0.0014835428695140031
17, 01/01  18:00:00,37.4737195842,0.605647352866,0.00911590189683,0.0,8.380693759069999,23.1212625696,31.823990913499998,17.4826736158,14.3413172977,,69.2977104977,0.0001669941455067204,0.006257891780921932,0.00010113956217026484,1.5223022477842174e-06,0.0,0.005314420169213566,0.0029195041416434065,0.0013995267930493988,0.00386111548584687,0.00239491602757016
18, 01/01  19:00:00,39.7200863028,0.578578025748,0.021652451400799997,0.0,10.6415932552,23.1212625696,33.2904504717,16.4459533813,16.8444970904,,73.0105367745,0.0001759413422763697,0.0069884052994478784,0.00010179579446171511,3.8095613630306127e-06,0.0,0.0058571665409759026,0.002893523112920523,0.0018722962012790504,0.004067985971619809,0.00296364342805538
19, 01/01  20:00:00,38.7641823044,0.610902118332,0.00270233867226,0.0,12.3080778603,20.485499986300002,33.6398047274,17.565516804,16.0742879234,,72.4039870318,0.00017447967413088502,0.006763561896421932,0.00010659000253243472,4.715031709272133e-07,0.0,0.005869462166663357,0.0030648256479025053,0.0021475094142427045,0.003574303362017874,0.0028046365187608525
20, 01/01  21:00:00,38.3803488289,0.66989187474,0.0,0.0,12.456681583,19.8967753704,34.0635800388,19.3371581576,14.726421881199999,,72.4439288677,0.00017457592626833927,0.0067002849473071875,0.0001169469945323698,0.0,0.0,0.005946681037289222,0.003375802296760393,0.0021746367255819875,0.003473497990040659,0.0025708787405288288
21, 01/01  22:00:00,33.0005407252,0.753584792991,0.0,0.0,9.18739968257,17.702556249,33.9005932207,21.869903424,12.0306897967,,66.9011339459,0.00016121885725354547,0.005320309464465832,0.00012149207916965864,0.0,0.0,0.005465414899258545,0.003525840838262681,0.0014811820779555218,0.0028539858889303905,0.0019395740609958634
22, 01/01  23:00:00,26.2130387005,0.901395329962,0.0,0.0,5.9181177820899995,14.0365255879,36.9542488178,26.463977355100003,10.490271462699999,,63.1672875183,0.0001522210059659322,0.003990175120414022,0.00013721130389980903,0.0,0.0,0.005625212929760877,0.004028373254852972,0.0009008618422146112,0.002136654045256686,0.0015968396749079048
23, 01/01  24:00:00,20.4933254289,1.07819112983,0.0,0.0,3.54045821811,10.517676080700001,37.9648904264,32.0958739657,5.86901646071,,58.4582158553,0.0001408730495494111,0.002886957248577636,0.00015188807245627712,0.0,0.0,0.005348229890176209,0.004521443643501709,0.0004987551459874298,0.001481657103661107,0.0008267862466759091
24, 01/02  01:00:00,17.0335833096,1.32170456621,0.0,0.0,2.55330491699,7.801573826319999,41.6421206931,39.8151786506,1.82694204245,,58.6757040027,0.000141397154127644,0.0024085002045735756,0.00018688526425960622,0.0,0.0,0.005888077357844214,0.0056297529522785685,0.0003610300488825063,0.0011031203367583623,0.00025832440555857537
25, 01/02  02:00:00,16.6166149021,1.49346077463,0.0,0.0,2.55330491699,7.212849210419999,46.2849767351,45.22874197350001,1.05623476153,,62.9015916372,0.00015158073002737255,0.0025187586174440354,0.0002263798744856607,0.0,0.0,0.007015910562806413,0.006855805726562797,0.00038703182329982407,0.001093328948892821,0.00016010483623300517
26, 01/02  03:00:00,16.4423427207,1.61355090118,0.0,0.0,2.55330491699,6.91848690247,49.4682476783,48.9904183316,0.477829346776,,65.910590399,0.00015883183794203082,0.0026115675144015526,0.00025628325524743956,0.0,0.0,0.00785713269851599,0.007781238185156987,0.00040554611279194615,0.0010988759904971778,7.589451337107208e-05
27, 01/02  04:00:00,16.405904909300002,1.7242942438,0.0,0.0,2.55330491699,6.7713057485000006,52.969099628500004,52.4912630184,0.477836610153,,69.37500453780001,0.00016718040926762333,0.0027427458971424853,0.00028826821737629107,0.0,0.0,0.008855395754430145,0.008775510834390573,0.0004268625610074232,0.0011320296663104405,7.988492004843232e-05
28, 01/02  05:00:00,18.5584815096,1.8003773963799998,0.0,0.0,3.82705111198,7.574053001239999,55.997854260699995,54.9414437125,1.05641054819,,74.5563357703,0.00017966642035722975,0.003334335940095669,0.0003234673620996639,0.0,0.0,0.010060934022705813,0.009871132521083103,0.0006875925738136022,0.0013608029903287233,0.00018980150162091605
29, 01/02  06:00:00,23.119722083600003,1.82300550842,0.0,0.0,6.02426329834,9.91545327661,61.222300510100006,55.7287943654,5.4935061447099995,,84.34202259370001,0.0002032480422828819,0.004699038251616012,0.00037052230065727477,0.0,0.0,0.012443312722732108,0.01132676835355285,0.0012244197215842219,0.0020152964668183693,0.0011165443691812894
30, 01/02  07:00:00,28.378409734899996,1.76344207955,0.0,0.0,6.51253267309,14.7454349813,72.23982395670001,53.8179923388,18.4218316179,,100.61823369160001,0.0002424705785666892,0.006880929427223767,0.00042758282129733404,0.0,0.0,0.017516031910336825,0.013049279739686483,0.0015790975651785992,0.003575334151133309,0.004466752170650341
31, 01/02  08:00:00,27.6707316484,1.70796469107,0.0,0.0,6.01364874671,18.163451543,71.6048135225,52.0250607934,19.5797527291,,99.27554517089999,0.00023923495764089503,0.006619806313797548,0.0004086048605202758,0.0,0.0,0.017130374529939475,0.012446213215174038,0.0014386750031863884,0.004345332560502055,0.004684161314765438
32, 01/02  09:00:00,25.0849750358,1.85362529407,0.0,0.0,4.35151303671,18.8798367041,69.4278490077,50.6198858038,18.8079632039,,94.5128240435,0.0002277577163403565,0.0057132966286086604,0.00042217746392810495,0.0,0.0,0.01581272834041684,0.01152906959208312,0.0009910906718663597,0.004300028492604659,0.00428365874833372
33, 01/02  10:00:00,22.1111795873,1.70346168607,0.0,0.0,3.78894180059,16.6187760998,61.7248124002,45.2322195959,16.4925928043,,83.8359919875,0.00020202860591080402,0.004467090787065646,0.0003441479896591898,0.0,0.0,0.012470177799318315,0.009138202267211027,0.0007654746298503693,0.003357468167386383,0.0033319755321072867
34, 01/02  11:00:00,19.0168550107,1.52576381264,0.0,0.0,3.78894180059,13.702149396800001,54.4197864038,39.470773866500004,14.9490125373,,73.4366414145,0.00017696817245217489,0.0033653780770315635,0.0002700116335165634,0.0,0.0,0.009630570145118202,0.00698507071642757,0.0006705221059780652,0.002424844337418367,0.0026454994286906307
35, 01/02  12:00:00,19.0384835118,1.40021115988,0.0,0.0,3.78894180059,13.8493305508,47.5458436745,35.491044138,12.054799536500001,,66.5843271863,0.00016045541393442007,0.0030548277525695,0.00022467146125413985,0.0,0.0,0.007628988027653125,0.005694730178127563,0.0006079562249870954,0.0022222000662432237,0.001934257849525563
36, 01/02  13:00:00,18.6541054192,1.31093547026,0.015338815142099999,0.0,3.6939862173800004,13.6338449159,43.0850375566,32.5738182872,10.5112192694,,61.7391429758,0.0001487794524741644,0.002775347590663919,0.00019504026149424404,2.28210051844406e-06,0.0,0.006410168297499757,0.004846314849762539,0.0005495892468689061,0.0020284359817052716,0.0015638534477372182
37, 01/02  14:00:00,18.317722703399998,1.23039429032,0.0377806771719,0.0,3.78894180059,13.260605934900001,39.1931730089,29.8396389398,9.35353406909,,57.5108957123,0.0001385901903226717,0.00253865667574213,0.00017052057886737739,5.2360312397730385e-06,0.0,0.00543178930665285,0.004135481239826688,0.0005251101652652945,0.001837789900311741,0.0012963080668247768
38, 01/02  15:00:00,18.090613616,1.15085533172,0.037391702425699995,0.0,3.78894180059,13.113424780899999,35.6292220253,27.4333731565,8.19584886878,,53.7198356413,0.00012945446516560028,0.002341910710176806,0.00014898336145079211,4.840522839150271e-06,0.0,0.004612361881551637,0.003551372649663043,0.0004904954343389649,0.0016975913915007383,0.001060989231886005
39, 01/02  16:00:00,19.412564540199998,1.14518850501,0.0,0.0,4.71240779196,13.5549682428,36.9519994394,27.5984653703,9.35353406909,,56.36456397959999,0.00013582775146582334,0.0026367649916805404,0.00015554837964001605,0.0,0.0,0.0050191069960200665,0.0037486374951552406,0.0006400757543719521,0.0018411408576101665,0.0012704695008634677
40, 01/02  17:00:00,29.544194091399998,1.1479646687799998,0.0,0.0,7.18559832057,18.5321311015,38.506225464699995,27.609111128600002,10.8971143362,,68.0504195561,0.000163988414386676,0.004844905543380887,0.00018825290580515785,0.0,0.0,0.006314574857971998,0.004527574356604645,0.0011783548750098362,0.003039054794540988,0.0017870005013837533
41, 01/02  18:00:00,37.890822456,0.838336764175,0.0,0.0,8.380693759069999,23.3147919321,39.3117761461,24.941606209,14.3701699371,,77.20259860210001,0.00018604340449146468,0.007049337608695881,0.00015596702571747515,0.0,0.0,0.007313696670826795,0.004640221332607814,0.0015591727989377534,0.004337563266058018,0.002673475338218981
42, 01/02  19:00:00,39.8739983677,0.754142542063,0.0,0.0,10.6415932552,23.1212625696,39.0478586496,22.1693707785,16.8784878711,,78.9218570173,0.00019018648638969115,0.007583495647861142,0.00014342772031195183,0.0,0.0,0.0074263750376087345,0.0042163147338332065,0.002023887230794724,0.004397351689005706,0.003210060303775527
43, 01/02  20:00:00,38.924430625599996,0.773852778231,0.0,0.0,12.3080778603,20.485499986300002,38.7733925088,22.6666947712,16.1066977376,,77.6978231344,0.00018723680030514233,0.007288085844036832,0.00014489371810321732,0.0,0.0,0.007259805950323087,0.004244039402452788,0.0023045251164691342,0.0038356394700858496,0.003015766547870299
44, 01/02  21:00:00,38.5238004916,0.813343537372,0.0,0.0,12.456681583,19.8967753704,38.5548615385,23.7987965347,14.756065003900002,,77.07866203009999,0.00018574474120533976,0.007155593352558383,0.00015107428486019772,0.0,0.0,0.00716136277867639,0.0044205013033363875,0.002313763096911657,0.003695721391995726,0.0027408614753585765
45, 01/02  22:00:00,33.1023535732,0.855397640976,0.0,0.0,9.18739968257,17.702556249,37.0145368619,24.9597373254,12.054799536500001,,70.1168904351,0.0001689682114993754,0.005593245479683563,0.00014453500951649957,0.0,0.0,0.006254280093032946,0.0042174021753670415,0.0015523784926937823,0.002991169268360622,0.002036877917665905
