,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/02  01:00:00,112.292921926,23.3629070228,13.544600213699999,10.0122372934,4.1224310944800004,15.988889478900001,98.96456903129999,95.9728386135,2.97173041782,0.02,211.25749095729998,9.277243252372955e-05,0.010417687522272265,0.0021674337153308803,0.001256565509386376,0.00092885960871352,0.009181183802696252,0.008903633694381715,0.00038244796054637037,0.0014833281703106197,1.855448650474591e-06
1, 01/02  02:00:00,104.612875031,19.542457558699997,10.4738431459,10.4902848729,4.1224310944800004,15.988889478900001,85.43424578390001,82.4425153661,2.97173041782,0.02,190.0471208149,8.345802845728698e-05,0.008730784301335805,0.0016309749790593075,0.0008741262993276825,0.0008754984934475354,0.007130173715859577,0.0068804897935142925,0.0003440499715963166,0.0013344011931304526,1.6691605691457397e-06
2, 01/02  03:00:00,123.930652862,24.428071948299998,12.57237887,15.2499848468,4.1224310944800004,15.988889478900001,107.758042705,104.766312288,2.97173041782,0.02,231.688695567,0.00010174467082137656,0.012609283480122479,0.0024854261391806863,0.0012791725495697802,0.0015516046882686468,0.010963806583376062,0.010659413956912098,0.00041943539469167475,0.0016267842968300517,2.0348934164275314e-06
3, 01/02  04:00:00,106.792003868,19.542457558699997,9.46983114913,13.414538455799999,4.1224310944800004,15.988889478900001,87.7040941778,84.71236376,2.97173041782,0.02,194.4960980458,8.541176954397206e-05,0.009121294023512588,0.001669155881326539,0.0008088350357298196,0.0011457594671255404,0.0074909618799770756,0.007235432890994251,0.0003521041346026303,0.0013656393434358463,1.7082353908794411e-06
4, 01/02  05:00:00,152.64654727,28.8734760998,12.202043979,15.463007524000002,12.367293283399999,24.9413748627,124.356723227,119.38383919700001,4.9528840297,0.02,277.003270497,0.00012164428870467628,0.018568580665883898,0.003512293462591642,0.001484308960568633,0.0018809865514920379,0.015127285142592711,0.01452236220195252,0.0015044105946613133,0.0030339758044898345,2.432885774093526e-06
5, 01/02  06:00:00,182.112449083,28.4425404229,15.198456036300001,42.5933395987,12.367293283399999,24.9413748627,193.77435358900001,188.80146956,4.9528840297,0.02,375.88680267200004,0.0001650683858803236,0.03006100801884343,0.00469496423794396,0.002508784605785102,0.00703081381680988,0.03198601977193932,0.03116515383210225,0.002041449139999405,0.004117032490221967,3.301367717606472e-06
6, 01/02  07:00:00,234.071430147,29.3754425053,8.67799004631,43.3676214858,24.7345865669,70.7195625826,189.60484152,179.67907346099997,9.905768059389999,0.02,423.67627166700004,0.00018605483832559867,0.043550122092641745,0.005465443206066511,0.0016145820350573616,0.008068755804106278,0.03527689813475436,0.03343016096327971,0.004601989504755104,0.013157716782762702,3.7210967665119736e-06
7, 01/02  08:00:00,244.13041254200002,29.4338479264,8.67878876663,31.602325334899998,37.1018798503,92.3937384068,171.344507759,161.41873969999997,9.905768059389999,0.02,415.474920301,0.00018245326513281933,0.04454239088651009,0.005370301659594543,0.0015834733478696772,0.005765947443142122,0.03126236490320525,0.029451376111889645,0.006769359121252793,0.016857539250148233,3.6490653026563866e-06
8, 01/02  09:00:00,242.670035129,29.4560910313,8.68481875409,24.9287499947,37.1018798503,104.43494719799999,161.91983856299998,151.994070503,9.905768059389999,0.02,404.58987369199997,0.00017767316362032328,0.043115952857224416,0.0052335568814193024,0.0015430592235082846,0.004429169876658466,0.028768809970380227,0.02700526735779847,0.0065920083692639275,0.018555287461190076,3.553463272406466e-06
9, 01/02  10:00:00,249.247163992,29.5202712137,9.4245705771,19.4369647909,37.1018798503,116.47615598899999,159.58171028200002,141.045256324,9.905768059389999,8.63068589883,408.828874274,0.00017953469474842485,0.04474851350421431,0.0052999128812423425,0.001692037401694635,0.003489609540570113,0.028650453642910446,0.02532251703984268,0.0066610746735163455,0.02091151111095503,0.0015495075583159788
