,Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,EWaterheat_scaled
0, 01/01  01:00:00,1.01175750616,6.1379665250099995,0.0,6.10999914663,0.0,0.150132813914,0.150132813914,0.150132813914,0.15401947611199998,0.0331798974413,0.092942924749,0.40603492295000004,0.158803470995,7.149724031169999,0.00022058274425796503,0.00022317624723236775,3.311670809632051e-05,0.0,0.0,0.001353929500250231,0.0013477603791774697,4.129295154175883e-05,0.00011006590296937834,3.502930542976725e-05
1, 01/01  02:00:00,0.83977355786,6.7449350060099995,0.0,6.71918441743,0.0,0.165808493098,0.165808493098,0.165808493098,0.08984472759230001,0.0193549373138,0.0761857795615,0.37385121008199995,0.0980844102128,7.58470856387,0.00023400285411317483,0.00019650940934801535,3.879966062113665e-05,0.0,0.0,0.001578334042214204,0.00157230833099139,2.5553033256229697e-05,0.00010530994003308028,2.295203193380263e-05
2, 01/01  03:00:00,0.771677468509,6.6588425229,0.0,6.633390491880001,0.0,0.16374877490999998,0.16374877490999998,0.16374877490999998,0.0641747963185,0.013824954979000001,0.062326493474500005,0.36951670329899994,0.0814417455281,7.430519991409,0.00022924583995453186,0.0001769038494423325,3.753872544576852e-05,0.0,0.0,0.0015265119472871644,0.0015206771750574362,1.788111850243997e-05,9.899825637299119e-05,1.8670181360952524e-05
3, 01/01  04:00:00,0.76439501817,6.73219094378,0.0,6.70709718181,0.0,0.165352285825,0.165352285825,0.165352285825,0.0641747963185,0.013824954979000001,0.053976430534199996,0.364315295158,0.0861072553545,7.49658596195,0.00023128410227353426,0.00017679241555981036,3.824335498591197e-05,0.0,0.0,0.0015570487387661746,0.0015512449505562774,1.8040102456401226e-05,9.674422626516792e-05,1.9915239253903512e-05
4, 01/01  05:00:00,0.806702521448,6.5286146215,0.0,6.50446877975,0.0,0.16054548104699998,0.16054548104699998,0.16054548104699998,0.0641747963185,0.013824954979000001,0.06582286430819999,0.350553236121,0.135137188675,7.335317142948,0.00022630864888489752,0.00018256375768093696,3.633283090032249e-05,0.0,0.0,0.0014774819540818516,0.0014720175412592205,1.7652018329495256e-05,9.422951271609465e-05,3.0582714583142725e-05
5, 01/01  06:00:00,1.0720077996600001,6.49879289688,0.0,6.47184807811,0.0,0.159461535661,0.159461535661,0.159461535661,0.0641747963185,0.013824954979000001,0.080078180578,0.391189237216,0.346635094908,7.570800696540001,0.00023357376964375302,0.0002503929028540914,3.724603199752152e-05,0.0,0.0,0.0015179475550583077,0.0015116539521658307,1.821869594183229e-05,0.00011007570728442208,8.096486580848165e-05
6, 01/01  07:00:00,1.68277042748,6.154378943230001,0.0,6.12324685484,0.0,0.150977501504,0.150977501504,0.150977501504,0.147602041092,0.0317973945638,0.14038354292000002,0.451980694856,0.743385252541,7.8371493707100015,0.00024179113876482034,0.0004068789779401527,3.650502201651953e-05,0.0,0.0,0.0014880742930738135,0.0014805468299698681,4.3377193840982e-05,0.00014322842361541387,0.00017974396675286193
7, 01/01  08:00:00,2.12261352222,6.509177470269999,0.0,6.4760972938800005,0.0,0.15927781486,0.15927781486,0.15927781486,0.30162151720400004,0.0649772920051,0.22856729095800002,0.48026335161899997,0.856262255572,8.63179099249,0.00026630736189030903,0.000565267607415105,4.2416854683019665e-05,0.0,0.0,0.001733441880183439,0.0017246323856781522,9.762796175260416e-05,0.00018876681845169342,0.00022802894236762487
8, 01/01  09:00:00,2.0558232908300003,6.007250325319999,0.0,5.979282946950001,0.0,0.147711058614,0.147711058614,0.147711058614,0.2887865675,0.062212303412,0.30112795013,0.40603492295000004,0.833306488219,8.06307361615,0.0002487613364726345,0.0005114093493784405,3.6744800352606285e-05,0.0,0.0,0.0014943716194522714,0.0014874144170313147,8.731494822845482e-05,0.0001759147814112088,0.0002072944357006761
9, 01/01  10:00:00,1.7938557121599998,5.31015342294,0.0,5.28635092237,0.0,0.12975048736199998,0.12975048736199998,0.12975048736199998,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.7474286816750001,7.1040091351,0.00021917235174706166,0.0003931635751290073,2.843771945545694e-05,0.0,0.0,0.0011638388138434691,0.0011586219638160815,3.931939621477736e-05,0.0001579428529096779,0.0001638157019259157
