Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.41770380158,10.5388106758,0.0,10.5042684615,0.0,0.290398352834,0.290398352834,0.290398352834,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.177319604851
 01/01  02:00:00,1.19434483742,11.7501099808,0.0,11.7183057001,0.0,0.323936670545,0.323936670545,0.323936670545,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.106503849984
 01/01  03:00:00,1.1095203132,12.0045758756,0.0,11.9731403403,0.0,0.3309580753,0.3309580753,0.3309580753,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0870952181485
 01/01  04:00:00,1.07753609792,11.2491447146,0.0,11.2181516736,0.0,0.310076296558,0.310076296558,0.310076296558,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0925578537637
 01/01  05:00:00,1.1157755539,10.6808763769,0.0,10.6510541022,0.0,0.294388866703,0.294388866703,0.294388866703,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.149838852298
 01/01  06:00:00,1.43258782254,10.8029265099,0.0,10.7696472481,0.0,0.297626523132,0.297626523132,0.297626523132,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.396670106767
 01/01  07:00:00,2.1931840502,10.3519899813,0.0,10.313539067,0.0,0.28498167249,0.28498167249,0.28498167249,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.859574971397
 01/01  08:00:00,2.81784824144,10.8369050346,0.0,10.7960480572,0.0,0.298295290103,0.298295290103,0.298295290103,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.991257881126
 01/01  09:00:00,2.70576295318,10.2571749065,0.0,10.2226326921,0.0,0.282443070284,0.282443070284,0.282443070284,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.964401732543
 01/01  10:00:00,2.30933839656,9.17090196415,0.0,9.14150374649,0.0,0.252573928162,0.252573928162,0.252573928162,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.864315363713
 01/01  11:00:00,2.17160779448,9.21013942649,0.0,9.18004981143,0.0,0.253623268502,0.253623268502,0.253623268502,0.196088550257,0.0443238762875,0.476182943291,0.436158054049,0.742461102089
 01/01  12:00:00,2.02781405423,7.24439144118,0.0,7.21429260749,0.0,0.199306627995,0.199306627995,0.199306627995,0.196088550257,0.0443238762875,0.496972028135,0.436291680904,0.632061290651
 01/01  13:00:00,1.86964711875,5.40646237143,0.0,5.37687056251,0.0,0.148530497602,0.148530497602,0.148530497602,0.196088550257,0.0443238762875,0.481415945109,0.42894220389,0.5475760456
 01/01  14:00:00,1.76893065309,4.73128889165,0.0,4.70067381456,0.0,0.129841773212,0.129841773212,0.129841773212,0.196088550257,0.0443238762875,0.43681890348,0.443774784773,0.495312765078
 01/01  15:00:00,1.70517272184,4.11344166004,0.0,4.08110269876,0.0,0.112724958282,0.112724958282,0.112724958282,0.206409051718,0.0466566951156,0.402002089622,0.468763006619,0.44584692048
 01/01  16:00:00,1.8314512888,4.89938505819,0.0,4.86524846365,0.0,0.134384688895,0.134384688895,0.134384688895,0.258011189652,0.0583208761344,0.411726405573,0.494820243304,0.451417885242
 01/01  17:00:00,2.30319552894,6.49064515045,0.0,6.45026754201,0.0,0.178195582226,0.178195582226,0.178195582226,0.433458860111,0.0979790858062,0.470575105936,0.585285624,0.514931270863
 01/01  18:00:00,3.13798623011,7.1980170126,0.0,7.14896467139,0.0,0.197542848407,0.197542848407,0.197542848407,0.80499507833,0.181961142806,0.578065905983,0.711028494362,0.641622760225
 01/01  19:00:00,3.77760511755,7.12467969594,0.0,7.07142365851,0.0,0.195429480513,0.195429480513,0.195429480513,1.19717217884,0.270608895381,0.522761393651,0.771962340148,0.766900829013
