,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,760.4329842139999,96.4632693683,314.125202748,0.0,34.9616554283,113.312780494,676.399377656,662.002084486,5.6646699609599995,8.732623209560002,1436.8323618699999,0.00010049399831177307,0.07641895103181827,0.009693979629046051,0.03156769759464288,0.0,0.0679740779162464,0.06652723636072633,0.003513436541588372,0.011387254371666348,0.0008775762220788731
1, 01/01  02:00:00,805.259798059,96.4632693683,369.959676716,0.0,34.9616554283,113.312780494,679.6968208669999,656.5881443009999,5.6646699609599995,17.444006605,1484.956618926,0.00010385987392515834,0.0836341811034062,0.010018662995000227,0.038423965381116094,0.0,0.07059322612257754,0.06819316188785553,0.0036311131249980653,0.011768651096215981,0.0018117323267449292
2, 01/01  03:00:00,813.381236066,96.4632693683,373.72475029099996,0.0,34.9616554283,113.312780494,685.733495857,662.626597345,5.6646699609599995,17.4422285514,1499.114731923,0.00010485011149314203,0.08528311328794978,0.010114184548259247,0.039185081735758014,0.0,0.0718992334951885,0.06947647260994459,0.003665733469642069,0.01188085766839383,0.0018288196083031552
3, 01/01  04:00:00,793.71323261,96.4632693683,352.58993224,0.0,34.9616554283,113.312780494,691.557033563,668.448670558,5.6646699609599995,17.4436930439,1485.270266173,0.0001038818108377356,0.08245236788939965,0.010020779101307276,0.03662768064424569,0.0,0.07184019694409713,0.069439658349642,0.003631880075776752,0.011771136828775564,0.001812082421097944
4, 01/01  05:00:00,783.6216338280001,96.4632693683,336.999036823,0.0,44.4937663224,113.312780494,685.246661878,662.137035373,5.6646699609599995,17.4449565444,1468.868295706,0.00010273463484409691,0.08050508240725421,0.00991011875442006,0.03462147299082327,0.0,0.07039856558617268,0.06802440654579804,0.004571050835970341,0.011641147127220397,0.0017922012404600726
5, 01/01  06:00:00,775.8040063469999,96.4632693683,327.166983955,0.0,44.4937663224,113.312780494,700.9533306339999,669.348624921,14.1616749024,17.4430308104,1476.7573369809998,0.00010328640505863991,0.08013000684567188,0.009963344313254926,0.033791901626589675,0.0,0.07239894963506606,0.06913461319903404,0.004595601170959878,0.011703669744424034,0.0018016279457333103
6, 01/01  07:00:00,849.998695215,96.4632693683,326.64385427400003,0.0,54.0258772165,176.889270242,644.069914379,598.3053957340001,28.3233498048,17.4411688402,1494.068609594,0.00010449717887395218,0.08882246569650781,0.010080139513945477,0.03413336126814735,0.0,0.06730348905019343,0.06252122595926654,0.005645551755314778,0.01848442971336114,0.0018225529400651803
7, 01/01  08:00:00,856.836994489,96.4632693683,332.820368018,0.0,54.0258772165,184.38654557,637.775937681,586.557746309,42.4850247072,8.7331666652,1494.61293217,0.00010453524953096496,0.08956966902626966,0.010083811933987928,0.03479146021974922,0.0,0.06667006679032848,0.061315960374731755,0.005647608555956102,0.01927489355131259,0.0009129237565421871
8, 01/01  09:00:00,938.265235062,96.4632693683,334.882832227,0.0,65.1572554096,220.04316451,637.94111694,555.006439551,56.6466996096,26.287977779600002,1576.2063520020001,0.0001102420036467876,0.10343623946535903,0.010634304093481184,0.03691815441161549,0.0,0.07032790694013524,0.06118502193297194,0.0071830663884797944,0.024257999344362104,0.0028980393422453348
9, 01/01  10:00:00,932.716194454,96.4632693683,335.81195702599996,0.0,65.1572554096,212.545889182,601.694619266,532.788084739,42.4850247072,26.4215098196,1534.41081372,0.0001073187671823162,0.10009795211978478,0.010352319146981643,0.036038925233111266,0.0,0.06457312475986024,0.057178160423616904,0.006992596323541575,0.022810162796681438,0.002835523860934934
