,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,148.171630913,30.8976316354,24.258565698,0.0,34.431160611799996,33.1021868926,196.20000859200002,54.3892673251,3.3321199999999997,138.478621267,344.371639505,6.556003887078355e-05,0.009714137882203672,0.0020256499310319755,0.0015903925101103365,0.0,0.012862880189739587,0.0035657624799869934,0.002257308228075799,0.0021701806593867976,0.009078663793037033
1, 01/01  02:00:00,148.563744305,30.8976316354,24.5884492827,0.0,34.431160611799996,33.1021868926,148.445493903,42.728031291,3.3321199999999997,102.385342612,297.009238208,5.654338211441355e-05,0.008400296562585645,0.0017470565919908145,0.0013903140833925838,0.0,0.008393610284920175,0.002415987400283632,0.001946854271115752,0.0018717096022910136,0.005789213550225464
2, 01/01  03:00:00,130.687926558,30.8976316354,24.1904743121,0.0,19.466279405,30.610668775,146.38294242,35.7590237079,3.3321199999999997,107.291798712,277.070868978,5.274759839767733e-05,0.006893474265506533,0.0016297758649434495,0.0012759894240639807,0.0,0.007721348659040486,0.0018862026216373317,0.0010267994883519174,0.0016146392632280216,0.00565938470982501
3, 01/01  04:00:00,130.669080516,30.8976316354,24.186623596799997,0.0,19.466279405,30.610668775,143.25260424,31.9033379533,3.3321199999999997,108.017146286,273.921684756,5.214806981773287e-05,0.006814140333767326,0.001611251851725431,0.0012612857359811515,0.0,0.007470346807479576,0.0016636974950074153,0.0010151288975034356,0.0015962872924461956,0.005632885686034593
4, 01/01  05:00:00,139.222180816,30.8976316354,26.169538235500003,0.0,19.466279405,30.610668775,171.497871653,29.896893614099998,3.3321199999999997,138.268858038,310.720052469,5.9153589845785693e-05,0.008235491781425477,0.0018277058289666243,0.0015480221312363734,0.0,0.01014471475918676,0.0017685085825115607,0.0011515003077468354,0.0018107309456215491,0.00817909931682502
5, 01/01  06:00:00,153.872623383,30.8976316354,28.5776521604,0.0,19.466279405,30.610668775,208.71019852700002,29.0531502648,8.3303,171.326748262,362.58282191,6.902700795125393e-05,0.010621366797738641,0.002132771064571671,0.0019726298229041,0.0,0.014406640533231017,0.0020054520343373247,0.0013436990232702658,0.0021129628769251253,0.011826172814543554
6, 01/01  07:00:00,256.475696372,32.0953935072,57.7209343193,0.0,42.6918050922,54.373244103699996,293.043739512,28.549008717800003,16.6606,247.834130794,549.519435884,0.00010461522217273937,0.026831261957864824,0.003357666722477225,0.006038488367831666,0.0,0.030656835915378242,0.0029866608898241206,0.004466212674675789,0.0056882690121611654,0.025927222655002056
7, 01/01  08:00:00,320.70847810000004,35.6886791226,75.0364028087,0.0,49.3960418185,88.5934452969,612.7799727309999,174.32635545,24.9909,413.462717281,933.4884508309999,0.00017771364450881066,0.056994272468025096,0.006342365234582749,0.013334992613965233,0.0,0.10889936223603561,0.030980171960957866,0.008778350615875254,0.01574426404330405,0.07347796635652251
8, 01/01  09:00:00,357.95700787699997,35.6886791226,86.1042033263,0.0,57.656686298900006,112.03010548799999,827.130402246,203.995516169,33.3212,589.8136860769999,1185.087410123,0.00022561200679770845,0.0807593988944331,0.008051794516809267,0.019426142106164467,0.0,0.18661054993411588,0.046023837780622474,0.013008040701200771,0.02527533692090665,0.1330690493525856
9, 01/01  10:00:00,315.18365929099997,35.912377886,99.15545502469999,0.0,50.9524495726,81.1684271793,682.497518708,196.50018643599998,66.8089,419.188432271,997.681177999,0.0001899343886281724,0.05986421563302627,0.006820995537961308,0.01883303072926464,0.0,0.12962974895604865,0.03732214277604355,0.009677622358679566,0.015416675592210676,0.07961829860339444
10, 01/01  11:00:00,268.606049365,36.02666903,97.392273856,0.0,42.6918050922,68.9656133826,603.029351368,198.571091035,83.4695,320.988760333,871.635400733,0.00016593831836833584,0.0445720361351903,0.005978204875250805,0.01616111014573308,0.0,0.10006567649275425,0.03295055292291363,0.0070842063451084245,0.011444037909949441,0.05326433510479481
11, 01/01  12:00:00,263.745667711,36.1066715363,96.0840791943,0.0,38.286128036,68.9656133826,540.84850281,201.729252195,83.4695,255.649750615,804.594170521,0.00015317528809975285,0.04039931863669411,0.005530649814895898,0.014717706512386372,0.0,0.08284462523624174,0.03089993632311682,0.005864488692138325,0.010563827698855924,0.03915922420308259
12, 01/01  13:00:00,269.120633475,36.2489725625,101.975889603,0.0,38.286128036,68.9656133826,465.47469452300004,194.77090079799999,83.4695,187.234293725,734.595327998,0.00013984919991399472,0.037636305271826175,0.005069389810569972,0.014261246571497403,0.0,0.06509626360925266,0.027238554643128333,0.0053542843736393625,0.009644785853134497,0.02618456617390313
13, 01/01  14:00:00,249.55304409599998,36.3850899951,101.072294113,0.0,31.5818913096,56.727595265,451.944941024,189.563892305,75.1392,187.24184871900002,701.49798512,0.00013354826558409374,0.03332737621025166,0.004859165661966767,0.013498029577396558,0.0,0.06035646301326073,0.025315929034702683,0.004217706808262443,0.007575871958397198,0.02500582414118172
14, 01/01  15:00:00,247.05420574400003,36.4363147285,98.4999137191,0.0,31.5818913096,56.727595265,436.10877111900004,189.593004816,66.8089,179.706866302,683.162976863,0.0001300577230534926,0.03213130746985373,0.004738824130049146,0.012810674499271622,0.0,0.056719313775393895,0.02465803451323881,0.004107468873449461,0.007377861874465987,0.023372265848316538
15, 01/01  16:00:00,236.550752119,36.3812324752,88.18901888239999,0.0,31.5818913096,56.727595265,451.477205704,195.155942353,75.1392,181.18206335,688.0279578230001,0.00013098389787236466,0.030984339557186148,0.004765355639002353,0.01155134144275632,0.0,0.059136244203633316,0.025562286022350438,0.004136719225912767,0.007430401544735597,0.023731932882140705
16, 01/01  17:00:00,250.380974462,36.0068850477,65.05210312359999,0.0,31.5818913096,61.661095265,441.178684314,205.533334146,91.7998,143.845550167,691.559658776,0.0001316562483948742,0.03296421976711973,0.004740531401765674,0.008564515847449652,0.0,0.05808393044856778,0.027059747693752457,0.004157953327036616,0.008118068474508843,0.018938165483283892
17, 01/01  18:00:00,271.18307285,35.6886791226,50.348720846499994,0.0,31.5818913096,70.9729253606,453.042041156,224.31569311200002,49.9818,178.74454804400003,724.225114006,0.000137874961752597,0.037389355797145474,0.0049205752690291826,0.00694182796100337,0.0,0.06246315409670198,0.030927517608324292,0.004354352056385776,0.009785389369562648,0.024644397725051743
18, 01/01  19:00:00,341.128050118,35.6886791226,58.618396178299996,0.0,80.3315023541,83.7685254822,496.57861426,232.592642524,49.9818,214.004171736,837.7066643779999,0.00015947910680995175,0.05440279674063909,0.0056915986696992205,0.009348409465147173,0.0,0.07919391386310837,0.037093666880293925,0.012811196244133403,0.013359329622687939,0.0341291941620608
19, 01/01  20:00:00,356.42641028099996,35.6886791226,69.9988714521,0.0,102.000620287,77.6748002752,538.564220912,224.254176062,33.3212,280.98884485,894.9906311929999,0.00017038458989927435,0.06072956774499868,0.006080800956350996,0.011926729005778082,0.0,0.09176304391451331,0.03820945582152354,0.0173793338570721,0.013234588990397995,0.04787616909603808
20, 01/01  21:00:00,383.87229846300005,35.6886791226,76.9685015877,0.0,108.704857014,91.4735406516,526.648222478,220.326786105,33.3212,273.000236373,910.5205209410001,0.00017334110564778764,0.06654084864313396,0.0061863150982206,0.013341805165265418,0.0,0.09128978517177856,0.03819168870726432,0.018843020104091425,0.015856124674066194,0.04732216281500319
21, 01/01  22:00:00,355.317796583,35.6886791226,76.6607091222,0.0,95.2963835608,89.1510273009,529.5751666169999,224.182367585,24.9909,280.401899032,884.8929631999999,0.00016846223791036808,0.05985763118175312,0.006012194753058228,0.012914434618521582,0.0,0.08921341771005586,0.03776626334341386,0.01605384203941718,0.015018581571117936,0.0472371314252478
