,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,37.8331039248,5.4090510833500005,0.9068356194830001,0.950790393215,12.925468867000001,10.100111941,30.8954362275,30.8754362275,0.0,0.02,68.7285401523,8.115551276025771e-05,0.0030703649483292622,0.0004389743142156967,7.359470968840882e-05,7.716188188889038e-05,0.0025073349689946046,0.0025057118587393993,0.0010489730535681323,0.0008196797635078567,1.6231102552051541e-06
1, 01/01  02:00:00,38.106828609299995,5.41497596699,0.816388900714,1.31024480725,12.925468867000001,10.100111941,34.7285842387,28.9681700393,0.0,5.76041419945,72.835412848,8.600495898335606e-05,0.0032773762315286255,0.0004657147859368338,7.021349392037472e-05,0.00011268755090569151,0.0029868304629994194,0.0024914062760528805,0.0011116544197469808,0.0008686597132130097,0.0004954241869508391
2, 01/01  03:00:00,33.9148686715,5.41358916395,0.580565664413,1.97453116531,8.34152022915,10.0650221343,35.7361148896,29.975809488299998,0.0,5.76030540131,69.6509835611,8.224474537988842e-05,0.0027893197384798725,0.0004452392623803908,4.774847524595293e-05,0.0001623948129355753,0.0029391076699615917,0.002465352818921277,0.0006860462073276303,0.0008277951826784446,0.0004737548510411369
3, 01/01  04:00:00,34.1573548346,5.41220068339,0.448322866453,2.35065121385,8.34152022915,10.0650221343,31.7894319412,31.7694319412,0.0,0.02,65.9467867758,7.787078386681445e-05,0.002659859995787226,0.00042145230966008816,3.491125303611228e-05,0.00018304705261997837,0.002475467983941993,0.0024739105682646564,0.0006495607188848001,0.0007837711632347787,1.557415677336289e-06
4, 01/01  05:00:00,35.8455270866,5.40738498946,0.35733660721999994,2.5279152289099995,8.34152022915,11.6705166398,38.383589967199995,32.6166748106,0.0,5.76691515658,74.2291170538,8.765066219787489e-05,0.0031418841859723514,0.00047396087508501774,3.1320790250374915e-05,0.00022157344379405394,0.0033643470781567868,0.002858873145841836,0.0007311397718219666,0.001022928511669788,0.0005054739323131983
5, 01/01  06:00:00,40.1006569372,5.40374300724,0.2730453263,2.71257728059,8.80141237637,15.367811299500001,38.428813141999996,32.6552786227,0.0,5.773534519269999,78.5294700792,9.272857239432452e-05,0.003718476669861122,0.0005010813746471793,2.531910330674151e-05,0.0002515334187383898,0.0035634489814659162,0.003028077367821875,0.0008161424047145293,0.0014250352026280043,0.0005353716136412597
6, 01/01  07:00:00,59.732292176899996,5.41479969365,0.617351580407,2.01206041729,18.5082010057,25.635382069499997,42.7947632579,31.2425658181,0.0,11.5521974397,102.52705543479999,0.0001210652188620961,0.007231503025531069,0.0006555439100061482,7.473980419683437e-05,0.00024359053478297424,0.005180957379969252,0.003782388068581719,0.0022406994054987375,0.003103553140857471,0.0013985693113754266
7, 01/01  08:00:00,70.5418251535,5.505032485269999,1.75426499458,0.791203977638,19.4926561212,41.1001056674,40.6509689807,29.0318961242,0.0,11.6190728565,111.1927941342,0.00013129783061316473,0.009261988610147726,0.0007227988227709497,0.00023033118810896917,0.0001038833658363763,0.005337384039488962,0.003811824979694205,0.002559343461601986,0.005396354712101457,0.0015255590597947572
8, 01/01  09:00:00,94.4076402868,5.71755318715,4.00499983722,0.32002583059,26.3286599382,57.9988325916,64.07107861029999,22.569721968699998,0.0,41.5013566416,158.4787188971,0.00018713363713505977,0.01766684510020728,0.0010699465234245327,0.0007494701862643009,5.988759765547517e-05,0.011989853975511769,0.0042235541611298924,0.004926977895127504,0.010853532492453553,0.007766299814381877
9, 01/01  10:00:00,80.4571170841,5.6332546202,5.29561425912,0.437068700102,26.2443270014,42.8153538416,68.4484786463,20.952238486400002,18.025,29.4712401599,148.90559573040002,0.00017582957454928346,0.01414674066635919,0.0009904927631975513,0.0009311256021581885,7.684960358774303e-05,0.012035266878924644,0.0036840231789188353,0.004614528850988434,0.007528205450145558,0.005181915618754973
