,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,401.96085543199996,21.1102812595,94.1517928422,0.0,24.920363534099998,149.522181205,288.325790597,288.305790597,0.02,,690.2866460289999,8.935016173884854e-05,0.03591526744553511,0.0018862070448889081,0.008412477918453133,0.0,0.025761956023323325,0.02576016902008855,0.002226638512362738,0.01335983107421217,1.787003234776971e-06
1, 01/01  02:00:00,373.86520863699997,16.8882250076,76.0102426995,0.0,24.920363534099998,149.522181205,203.618889518,201.42954331299998,2.18934620503,,577.484098155,7.474908846722007e-05,0.0279460835552228,0.0012623794251474107,0.005681696355959794,0.0,0.01522032638617809,0.015056674753015172,0.0018627744584457256,0.011176646750704256,0.00016365163316516
2, 01/01  03:00:00,405.45701407,21.1102812595,94.2628547093,0.0,24.920363534099998,149.522181205,275.63557735,273.446189822,2.18938752802,,681.09259142,8.816009052556965e-05,0.035745127064638366,0.0018610843068577563,0.008310221804370507,0.0,0.024300057451243657,0.024107040848579623,0.0021969815050963608,0.013181889030613429,0.00019301660266579637
3, 01/01  04:00:00,370.31377691,16.8882250076,75.162763574,0.0,24.920363534099998,149.522181205,221.025636885,218.836434934,2.1892019509900003,,591.339413795,7.654250965028724e-05,0.02834474584276799,0.0012926671256204452,0.005753146556205153,0.0,0.016917856944230997,0.01675028993277015,0.0019074671662975152,0.01144480299781571,0.00016756701146007974
4, 01/01  05:00:00,414.14205551699996,21.1102812595,92.9856778686,0.0,24.920363534099998,149.522181205,298.649496348,296.46008532,2.18941102896,,712.791551865,9.226317908886068e-05,0.03821006263639385,0.0019477016604614677,0.008579154249889752,0.0,0.027554351966353568,0.027352349944578077,0.002299231963706181,0.013795391782273994,0.00020200202186406322
5, 01/01  06:00:00,405.090166076,16.8882250076,74.27909667029999,0.0,24.920363534099998,149.522181205,237.028305799,232.66445595599998,4.3638498428600005,,642.1184718750001,8.31153110777739e-05,0.03366919516795383,0.0014036700750581143,0.006173730226328023,0.0,0.019700681370721604,0.01933797863352396,0.002071263767307934,0.012427582603880853,0.0003627027371860037
6, 01/01  07:00:00,485.089690098,21.1102812595,91.96575787229999,0.0,24.920363534099998,149.522181205,312.842943526,310.653543287,2.1894002392900003,,797.932633624,0.0001032837738947286,0.050101893870745796,0.0021803495164603244,0.009498570542139989,0.0,0.03231159984370073,0.03208547032445079,0.0025738691926304237,0.015443215155823859,0.00022612951927989308
7, 01/01  08:00:00,442.981790798,16.8882250076,73.6866955127,0.0,24.920363534099998,149.522181205,233.97815791099998,231.788774453,2.18938345754,,676.959948709,8.76251644962731e-05,0.03881635228752839,0.001479833494341023,0.006456808815487126,0.0,0.02050237457548634,0.02031052948983367,0.0021836509539824383,0.01310190572392968,0.00019184508561236166
8, 01/01  09:00:00,457.263304615,21.1102812595,91.7156344012,0.0,24.920363534099998,149.522181205,265.384380533,263.195011699,2.1893688335799997,,722.6476851479999,9.353894924611604e-05,0.04277192904249378,0.001974633527303605,0.008578984071329182,0.0,0.024823776101388233,0.02461898484114368,0.0023310246198109405,0.013986147718903061,0.00020479126020526785
9, 01/01  10:00:00,390.050675328,16.8882250076,74.9182315916,0.0,24.920363534099998,149.522181205,144.49292016799998,142.303539366,2.18938080197,,534.543595496,6.919090350188623e-05,0.026987958637465205,0.0011685115468189934,0.00518366013258636,0.0,0.009997595696049837,0.009846110460249774,0.0017242624685198374,0.010345574811146702,0.00015148523579798856
10, 01/01  11:00:00,378.767213326,21.1102812595,97.67164713,0.0,24.920363534099998,149.522181205,178.161340542,175.971946893,2.18939364968,,556.928553868,7.208839494629056e-05,0.027304720466950577,0.001521806292862112,0.0070409922733621665,0.0,0.012843365081152264,0.012685535207090252,0.0017964690086513379,0.010778814051936864,0.00015782987411103235
11, 01/01  12:00:00,350.62135648300006,16.8882250076,82.171221581,0.0,24.920363534099998,149.522181205,129.05227008399999,126.861209018,2.1910610666299997,,479.67362656700004,6.208857778456999e-05,0.021769581364926193,0.0010485658720276927,0.005101894282785055,0.0,0.008012671909385769,0.007876632043958685,0.0015472699297067293,0.009283619578265212,0.00013603986546619962
12, 01/01  13:00:00,393.466805333,21.1102812595,107.178832326,0.0,24.920363534099998,149.522181205,153.574724535,151.383806929,2.1909176062,,547.041529868,7.080862631886914e-05,0.027860843987703627,0.0014947900171901616,0.0075891858874644665,0.0,0.01087441528162208,0.010719279415563394,0.00176457670921646,0.010587460255327084,0.0001551358660728471
13, 01/01  14:00:00,364.727950684,16.8882250076,89.9802096383,0.0,24.920363534099998,149.522181205,107.469677995,103.101672097,4.36800589809,,472.197628679,6.112089048496079e-05,0.022292497130560945,0.0010322233511748957,0.005499670539116348,0.0,0.006568642419186395,0.0063016660090570754,0.0015231548104131364,0.009138928862503268,0.0002669764101348217
14, 01/01  15:00:00,406.05746443099997,21.1102812595,114.49831415,0.0,24.920363534099998,149.522181205,103.75478956799999,99.39222716729999,4.362562400969999,,509.81225399899995,6.59896980671764e-05,0.02679560947572491,0.0013930610864275775,0.0075557091799592115,0.0,0.006846747236615744,0.006558863060994334,0.001644487265339532,0.009866923592063589,0.0002878841756392264
15, 01/01  16:00:00,367.223369939,16.8882250076,93.3686725742,0.0,24.920363534099998,149.522181205,77.9794651333,75.79012330890001,2.18934182439,,445.2028350723,5.762670558548332e-05,0.02116187302358378,0.000973212770374362,0.005380529005340815,0.0,0.00449369967895014,0.0043675351222094575,0.0014360784524627952,0.008616470714799823,0.00012616455674010745
16, 01/01  17:00:00,471.077349206,21.1102812595,111.506959617,0.0,24.920363534099998,149.522181205,133.95107186299998,131.761689054,2.18938280873,,605.0284210689999,7.831440400897483e-05,0.036892141845195604,0.0016532390952995728,0.00873260108525818,0.0,0.010490298359314202,0.010318838149479872,0.001951623417860031,0.011709740507191514,0.0001714602098131853
17, 01/01  18:00:00,488.83335534199995,16.8882250076,84.2865316907,0.0,24.920363534099998,149.522181205,138.12401825799998,135.934820916,2.1891973420400004,,626.9573736,8.11528704151844e-05,0.03967022994068911,0.0013705279355842393,0.00684009398404071,0.0,0.011209160554916036,0.011031500906707447,0.0020223590325821037,0.012134154195525085,0.00017765964821183828
