,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.774322831429999,5.786496306974554e-05,0.97538271570446,0.08940537472727841,0.0004027961290657008,0.0,0.024617284295540044,0.02042820854460059,0.057600353162048645,0.34560211897229187,0.004189075750876617
1, 01/01  02:00:00,4.44680173349,0.218782965086,0.0,0.0,0.2750026812,1.6500160872,0.504204955383,0.051128468483,0.45307648689999996,,4.951006688873,6.000637772621887e-05,0.8981611241778039,0.04418959190212722,0.0,0.0,0.10183887582219617,0.010326883338272846,0.05554480098321155,0.3332688058992693,0.0915119924839233
2, 01/01  03:00:00,4.657474570950001,0.42685012181299997,0.0026056807369,0.0,0.2750026812,1.6500160872,0.0885275544364,0.0685275544364,0.02,,4.746002125386401,5.752171510198482e-05,0.9813469206086392,0.08993888130175406,0.0005490264580713511,0.0,0.018653079391360877,0.014439006268000936,0.05794407038484214,0.34766442230905287,0.004214073123359943
3, 01/01  04:00:00,4.6922449696,0.463313949328,0.0009122518697380001,0.0,0.2750026812,1.6500160872,0.514649017152,0.06158369871759999,0.453065318434,,5.206893986752,6.31077409068378e-05,0.9011600738441321,0.08898086853829146,0.00017520077652033247,0.0,0.09883992615586783,0.011827338692565774,0.05281511048615443,0.3168906629169266,0.08701258746322524
4, 01/01  05:00:00,4.72916957944,0.499777776842,0.00137303419563,0.0,0.2750026812,1.6500160872,0.6162737973,0.16321963418299998,0.453054163118,,5.34544337674,6.478696445707896e-05,0.8847104432942579,0.09349603795575084,0.00025686067531920353,0.0,0.11528955670574215,0.030534349104365963,0.05144618730723785,0.3086771238434271,0.08475520760156326
5, 01/01  06:00:00,5.0058420987400005,0.7739314856,0.0038918447394400003,0.0,0.2750026812,1.6500160872,0.191327616038,0.17132761603799998,0.02,,5.197169714778001,6.298988238354078e-05,0.9631861904578629,0.14891402976496002,0.0007488392631038492,0.0,0.03681380954213704,0.03296556114972249,0.052913931291879476,0.3174835877512769,0.0038482483924145447
6, 01/01  07:00:00,4.85917620549,0.629862143603,0.00129529348277,0.0,0.2750026812,1.6500160872,0.566544584391,0.113469341571,0.453075242821,,5.425720789881,6.575992956872965e-05,0.8955816920311106,0.11608819694107675,0.00023873205661185696,0.0,0.10441830796888937,0.020913229037259153,0.05068500423259552,0.30411002539557314,0.08350507893181454
7, 01/01  08:00:00,3.3661003345599996,0.669897907237,0.0035169922546799998,0.0,0.2750026812,1.6500160872,0.682176151898,0.229097231982,0.45307891991599997,,4.048276486458,4.906525546259471e-05,0.8314897329320351,0.16547731101813176,0.0008687628590697267,0.0,0.16851026706796488,0.05659130070496899,0.06793080515125856,0.4075848309075514,0.11191896636299586
8, 01/01  09:00:00,2.45841407209,0.532318604103,0.00107669958156,0.0,0.2750026812,1.6500160872,0.12073608729299999,0.100736087293,0.02,,2.579150159383,3.125939195848738e-05,0.9531876471582085,0.20639302530192524,0.00041746292965647827,0.0,0.04681235284179158,0.03905786056175136,0.10662530841778821,0.6397518505067293,0.00775449228004023
9, 01/01  10:00:00,1.9250187684,0.0,0.0,0.0,0.2750026812,1.6500160872,0.453086718384,0.0,0.453086718384,,2.378105486784,2.8822723353104075e-05,0.8094757693037722,0.0,0.0,0.0,0.19052423069622784,0.0,0.1156393956148246,0.6938363736889476,0.19052423069622784
10, 01/01  11:00:00,1.9250187684,0.0,0.0,0.0,0.2750026812,1.6500160872,0.45307537791,0.0,0.45307537791,,2.37809414631,2.8822585906154556e-05,0.8094796294700862,0.0,0.0,0.0,0.1905203705299137,0.0,0.11563994706715518,0.6938396824029311,0.1905203705299137
11, 01/01  12:00:00,1.9250187684,0.0,0.0,0.0,0.2750026812,1.6500160872,0.02,0.0,0.02,,1.9450187684,2.3573696873304562e-05,0.9897173228737262,0.0,0.0,0.0,0.010282677126273843,0.0,0.14138818898196087,0.8483291338917653,0.010282677126273843
12, 01/01  13:00:00,1.9250187684,0.0,0.0,0.0,0.2750026812,1.6500160872,0.453077738046,0.0,0.453077738046,,2.378096506446,2.8822614511087086e-05,0.8094788261040288,0.0,0.0,0.0,0.1905211738959712,0.0,0.11563983230057553,0.6938389938034533,0.1905211738959712
13, 01/01  14:00:00,1.9250187684,0.0,0.0,0.0,0.2750026812,1.6500160872,0.45307245290799997,0.0,0.45307245290799997,,2.378091221308,2.8822550455025948e-05,0.8094806251129423,0.0,0.0,0.0,0.1905193748870578,0.0,0.11564008930184888,0.6938405358110934,0.1905193748870578
14, 01/01  15:00:00,1.9250187684,0.0,0.0,0.0,0.2750026812,1.6500160872,0.02,0.0,0.02,,1.9450187684,2.3573696873304562e-05,0.9897173228737262,0.0,0.0,0.0,0.010282677126273843,0.0,0.14138818898196087,0.8483291338917653,0.010282677126273843
15, 01/01  16:00:00,1.9250187684,0.0,0.0,0.0,0.2750026812,1.6500160872,0.45308657046800005,0.0,0.45308657046800005,,2.378105338868,2.8822721560356877e-05,0.8094758196524324,0.0,0.0,0.0,0.19052418034756755,0.0,0.11563940280749035,0.6938364168449421,0.19052418034756755
16, 01/01  17:00:00,3.0765187683999997,0.0,0.0,0.0,0.2750026812,1.6500160872,0.45308131428099996,0.0,0.45308131428099996,,3.5296000826809997,4.2778878941902865e-05,0.871633810157651,0.0,0.0,0.0,0.12836618984234902,0.0,0.07791326914042752,0.4674796148425652,0.12836618984234902
