,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,201.98531300599998,9.499490443660001,73.8594731099,0.0,43.513341876000005,52.53974399999999,78.8616995915,74.0074395915,4.83426,0.02,280.8470125975,5.270198938005015e-05,0.719200503996381,0.0338244311584483,0.26298828115274553,0.0,0.28079949600361886,0.2635151391037399,0.1549361037297619,0.18707602945130164,7.121314845055266e-05
1, 01/01  02:00:00,194.329839535,12.0112237143,63.8467750708,0.0,43.513341876000005,52.53974399999999,63.180358341899996,58.32609834189999,4.83426,0.02,257.5101978769,4.8322749059157355e-05,0.7546491018110952,0.04664368173893384,0.247938821829966,0.0,0.2453508981889047,0.2265001495971129,0.168977159874659,0.20402976050337257,7.766682704178103e-05
2, 01/01  03:00:00,211.705131215,12.8433570588,80.12265414310001,0.0,43.513341876000005,52.53974399999999,84.7658544074,79.9115944074,4.83426,0.02,296.4709856224,5.563388619040561e-05,0.7140838108341504,0.04332078915525963,0.27025462196542954,0.0,0.2859161891658496,0.2695427150809939,0.1467709961048962,0.17721715293555634,6.74602270371003e-05
3, 01/01  04:00:00,193.17297019,10.759008509500001,63.9654090523,0.0,43.513341876000005,52.53974399999999,66.1920315632,61.3377715632,4.83426,0.02,259.3650017532,4.86708099243478e-05,0.7447919684006352,0.04148211376544083,0.24662313195658753,0.0,0.25520803159936495,0.23649209087032588,0.1677687489902949,0.20257067701830658,7.711140618359564e-05
4, 01/01  05:00:00,214.772587265,16.341610480699998,79.2900604063,0.0,43.513341876000005,52.53974399999999,91.49698967469999,86.64272967469999,4.83426,0.02,306.26957693969996,5.74726283965899e-05,0.7012534167155806,0.05335694992623255,0.25888977024287024,0.0,0.29874658328441944,0.2828969515694296,0.14207529951486872,0.17154738164001287,6.530194804147233e-05
5, 01/01  06:00:00,190.195125467,8.28770453881,63.0765467787,0.0,43.513341876000005,52.53974399999999,78.7394379387,65.2938792845,4.83426,8.61129865415,268.9345634057,5.046657385972775e-05,0.7072171128114985,0.030816807010066696,0.23454235848274427,0.0,0.29278288718850165,0.24278723588979978,0.16179899424217242,0.19536255710182335,0.03202005181148644
6, 01/01  07:00:00,214.91415424,17.5689808563,78.2139255822,0.0,43.513341876000005,52.53974399999999,96.36379503120001,91.5095350312,4.83426,0.02,311.2779492712,5.841246814416214e-05,0.6904252445224016,0.05644145657421136,0.2512671577454282,0.0,0.3095747554775984,0.2939801397607917,0.13978934896570247,0.16878723379864244,6.425125855148532e-05
7, 01/01  08:00:00,178.99074594200002,9.10595145589,63.1046269846,0.0,43.513341876000005,52.53974399999999,62.8374295996,57.983169599600004,4.83426,0.02,241.82817554160002,4.537995907920068e-05,0.7401567064761214,0.03765463406195845,0.26094819945306397,0.0,0.2598432935238785,0.2397701155778912,0.17993495496770479,0.21726063922175995,8.27033490006194e-05
8, 01/01  09:00:00,185.677876085,5.24558744182,79.3500888791,0.0,43.513341876000005,52.53974399999999,72.61756016529999,67.7633001653,4.83426,0.02,258.2954362503,4.847010196860433e-05,0.7188585241013308,0.020308478995876598,0.3072067010979093,0.0,0.28114147589866934,0.26234803506026444,0.16846345606290003,0.2034094940380077,7.74307137994459e-05
9, 01/01  10:00:00,170.733388591,4.19646995345,65.6681760873,0.0,43.513341876000005,52.53974399999999,50.5085082071,37.0539215401,4.83426,8.620326666930001,221.2418967981,4.1516867092996844e-05,0.7717045960187512,0.018967790523327494,0.29681618643519037,0.0,0.22829540398124884,0.1674814855430141,0.19667767500524203,0.2374764669819591,0.03896335545702134
10, 01/01  11:00:00,196.927258867,5.24558744182,90.4479767586,0.0,43.513341876000005,52.53974399999999,43.8559804863,39.0017204863,4.83426,0.02,240.78323935330002,4.518387290620107e-05,0.8178611575951499,0.02178551736370311,0.37564066752123954,0.0,0.18213884240485004,0.161978552124523,0.18071582554030308,0.2182034934869727,8.306225987205905e-05
11, 01/01  12:00:00,184.513684848,4.19646995345,78.3649705117,0.0,43.513341876000005,52.53974399999999,30.000141670900003,25.145881670900003,4.83426,0.02,214.5138265189,4.025431961163622e-05,0.8601482144170469,0.01956270148898894,0.36531430996032116,0.0,0.1398517855829531,0.11722266148976879,0.20284632735394428,0.24492474379207865,9.323408343675168e-05
12, 01/01  13:00:00,214.28193125099997,5.24558744182,107.61521206,0.0,43.513341876000005,52.53974399999999,39.5006099251,26.0460154166,4.83426,8.62033450849,253.78254117609998,4.762324037633014e-05,0.8443525321243809,0.020669615086642546,0.42404497788256323,0.0,0.1556474678756191,0.10263123418930005,0.17145916214073234,0.20702662900495825,0.03396740559276038
13, 01/01  14:00:00,193.76558734099999,4.01726061045,88.5609605646,0.0,43.513341876000005,52.53974399999999,20.1050320978,15.2507720978,4.83426,0.02,213.8706194388,4.0133619404106554e-05,0.9059944177907375,0.018783602072090864,0.41408661365916183,0.0,0.09400558220926246,0.07130840195730613,0.203456379329614,0.24566134487226501,9.351448110301605e-05
14, 01/01  15:00:00,125.534471305,1.25446540105,24.020504576900002,0.0,43.513341876000005,52.53974399999999,7.98060847105,3.12634847105,4.83426,0.02,133.51507977605,2.5054602686902755e-05,0.9402269130615345,0.009395683267793897,0.17990855128267552,0.0,0.05977308693846556,0.02341569563748114,0.3259058223908986,0.39351168488328764,0.0001497958135781125
15, 01/01  16:00:00,127.41809940600001,1.4336747440600002,25.7136187659,0.0,43.513341876000005,52.53974399999999,7.657655599069999,2.80339559907,4.83426,0.02,135.07575500507002,2.5347469214428897e-05,0.9433084375594822,0.010613856972379593,0.19036442746468343,0.0,0.05669156244051771,0.020754247118328344,0.3221402824982673,0.38896502187256277,0.0001480650617074049
16, 01/01  17:00:00,132.871122766,1.4336747440600002,22.4596193303,0.0,43.513341876000005,52.53974399999999,9.25720109037,4.40294109037,4.83426,0.02,142.12832385637,2.667091006311604e-05,0.9348673027360472,0.010087185334774106,0.15802352916648,0.0,0.06513269726395288,0.030978632343680212,0.30615531581145705,0.36966413572212986,0.00014071790518131567
17, 01/01  18:00:00,188.710250779,3.7823420154000003,66.26020223020001,0.0,43.513341876000005,52.53974399999999,29.4707203628,16.023649863499998,4.83426,8.61281049925,218.1809711418,4.094247297735553e-05,0.8649253406079744,0.0173358015394559,0.3036937725753188,0.0,0.1350746593920256,0.07344201366252935,0.19943692453234085,0.24080809488125984,0.03947553470945167
