,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Gas:Facility [kW](Monthly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/02  01:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836000002,1.797673824,0.0,0.0,,,15.1069992076,2.9018459897684797e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.12076027532206543,0.1189960891171312,0
1, 01/02  02:00:00,15.1520002681,0.04500106051780001,0.0,0.0,1.8243253836000002,1.797673824,1.3861977912799999,1.3861977912799999,,,16.53819805938,3.17675953093751e-05,0.9161820540361839,0.0027210377065400226,0.0,0.0,0.08381794596381602,0.08381794596381602,0.11030980382807147,0.10869828850431562,0
2, 01/02  03:00:00,15.1994284285,0.0924292208561,0.0,0.0,1.8243253836000002,1.797673824,2.7643124655699998,2.7643124655699998,,,17.96374089407,3.450586629307071e-05,0.8461171043453134,0.005145321422811868,0.0,0.0,0.15388289565468657,0.15388289565468657,0.10155598404351442,0.10007235322534791,0
3, 01/02  04:00:00,15.267377359700001,0.160378152065,0.0,0.0,1.8243253836000002,1.797673824,4.69359329922,4.69359329922,,,19.96097065892,3.8342268945995025e-05,0.7648614699444707,0.008034586834750517,0.0,0.0,0.23513853005552934,0.23513853005552934,0.09139462277525869,0.09005943922855625,0
4, 01/02  05:00:00,15.3097657502,0.20276654261500002,0.0,0.0,1.8243253836000002,1.797673824,5.930874986519999,5.930874986519999,,,21.24064073672,4.080033850200752e-05,0.7207770208048888,0.009546159418085023,0.0,0.0,0.2792229791951112,0.2792229791951112,0.08588843463870545,0.08463369096452213,0
5, 01/02  06:00:00,15.4625651653,0.35556595771300004,0.0,0.0,1.8243253836000002,1.797673824,10.4977601128,10.4977601128,,,25.9603252781,4.9866200935154264e-05,0.5956229361403318,0.013696513965214206,0.0,0.0,0.4043770638596681,0.4043770638596681,0.07027359495911216,0.06924696839282321,0
6, 01/02  07:00:00,23.7223870271,8.6153878195,0.0,0.0,1.8243253836000002,1.797673824,250.59517002200002,250.59517002200002,,,274.3175570491,0.0005269261564835147,0.0864778298636348,0.031406621990140916,0.0,0.0,0.9135221701363653,0.9135221701363653,0.0066504142251218165,0.006553258359902334,0
7, 01/02  08:00:00,23.336370335199998,8.6153878195,0.0,0.0,7.297301534400001,3.595347648,212.378542892,212.378542892,,,235.71491322720001,0.0004527758069470646,0.09900251967811058,0.036550032840713106,0.0,0.0,0.9009974803218894,0.9009974803218894,0.030958166517730274,0.015252949415782318,0
8, 01/02  09:00:00,33.150500039499995,8.6153878195,0.0,0.0,18.243253835999997,6.291858384,182.993651768,182.993651768,,,216.1441518075,0.000415183076079705,0.15337218130714977,0.03985945373702706,0.0,0.0,0.8466278186928502,0.8466278186928502,0.08440318039346079,0.029109547176661935,0
9, 01/02  10:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,147.30344715200002,147.30344715200002,,,196.84622408430002,0.0003781144210775669,0.25168263787007233,0.04376709718247089,0.0,0.0,0.7483173621299276,0.7483173621299276,0.16681984659628057,0.041095694091320904,0
10, 01/02  11:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,124.98617281899999,124.98617281899999,,,174.5289497513,0.00033524601807056917,0.28386566814787684,0.049363660480262694,0.0,0.0,0.7161343318521232,0.7161343318521232,0.18815134653358792,0.04635066113402624,0
11, 01/02  12:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,103.70531418799999,103.70531418799999,,,153.2480911203,0.0002943684265458868,0.3232847898471299,0.05621856531143939,0.0,0.0,0.6767152101528701,0.6767152101528701,0.21427905995267654,0.05278716458301399,0
12, 01/02  13:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,93.10816644479999,93.10816644479999,,,142.6509433771,0.0002740127687087442,0.34730073113735316,0.060394888498739814,0.0,0.0,0.6526992688626468,0.6526992688626468,0.23019726422693618,0.0567085784116772,0
13, 01/02  14:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,85.524187394,85.524187394,,,135.0669643263,0.00025944499195002126,0.3668015874896887,0.06378604762809811,0.0,0.0,0.6331984125103112,0.6331984125103112,0.2431227877859832,0.05989275207560744,0
14, 01/02  15:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,80.1221420754,80.1221420754,,,129.6649190077,0.00024906840866639946,0.3820831209508406,0.06644347511595164,0.0,0.0,0.6179168790491594,0.6179168790491594,0.2532516671132148,0.062387978721674224,0
15, 01/02  16:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,79.086355202,79.086355202,,,128.6291321343,0.00024707880507701256,0.3851598476196903,0.06697851160579073,0.0,0.0,0.6148401523803096,0.6148401523803096,0.2552909777119107,0.06289035830198889,0
16, 01/02  17:00:00,55.28527693229999,8.6153878195,0.0,0.0,32.8378569048,8.089532208,88.5887522739,88.5887522739,,,143.8740292062,0.00027636214773468006,0.3842616852904372,0.05988146621759263,0.0,0.0,0.6157383147095628,0.6157383147095628,0.2282403369529385,0.05622649377815156,0
17, 01/02  18:00:00,61.02777693229999,8.6153878195,0.0,0.0,32.8378569048,8.089532208,99.4058086149,99.4058086149,,,160.43358554719998,0.00030817076935445316,0.3803927757654301,0.05370064996125971,0.0,0.0,0.6196072242345699,0.6196072242345699,0.20468193609709617,0.05042293470166219,0
18, 01/02  19:00:00,49.1829877187,8.6153878195,0.0,0.0,21.8919046032,7.190695296,105.66824624600001,105.66824624600001,,,154.85123396470001,0.00029744784262986194,0.3176144384481417,0.05563654611537658,0.0,0.0,0.6823855615518583,0.6823855615518583,0.14137378206615062,0.046436151084460815,0
19, 01/02  20:00:00,49.1829877187,8.6153878195,0.0,0.0,21.8919046032,7.190695296,114.00139144799999,114.00139144799999,,,163.18437916669998,0.00031345466413973324,0.301395194624955,0.052795419901674565,0.0,0.0,0.698604805375045,0.698604805375045,0.13415441303261302,0.044064850647587965,0
