,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,75.7849378409,0.0,0.0,0.0,3.4936900082199998,6.8129867293599995,1.77125,0.0,1.75125,0.02,77.5561878409,3.136463494938037e-05,0.977161719144402,0.0,0.0,0.0,0.022838280855598147,0.0,0.045047211647212614,0.08784581758113576,0.0002578775537682218
1, 01/01  02:00:00,76.0609932507,0.0,0.0,0.0,3.4936900082199998,6.8129867293599995,1.77125,0.0,1.75125,0.02,77.83224325069999,3.1476275005386486e-05,0.97724272196171,0.0,0.0,0.0,0.022757278038290002,0.0,0.044887438191479584,0.08753424602468626,0.0002569629136292449
2, 01/01  03:00:00,75.9356471533,0.0,0.0,0.0,3.4936900082199998,6.8129867293599995,2.91557494726,0.0,1.75125,1.1643249472600001,78.85122210056,3.188836204236878e-05,0.9630243530843222,0.0,0.0,0.0,0.03697564691567785,0.0,0.04430736664758919,0.0864030581627677,0.014766098942323573
3, 01/01  04:00:00,83.7615754146,7.832329290860001,0.0,0.0,3.4936900082199998,6.8129867293599995,14.820334558199999,13.049084558199999,1.75125,0.02,98.5819099728,3.9867684384545844e-05,0.8496647654494712,0.07944996493799968,0.0,0.0,0.15033523455052875,0.13236794216911,0.0354394635809344,0.06910990800685225,0.00020287697819527185
4, 01/01  05:00:00,90.3604155975,7.832329290860001,0.0,0.0,3.4936900082199998,6.8129867293599995,16.4244909747,14.653240974700001,1.75125,0.02,106.78490657219999,4.3185072732191107e-05,0.8461908943695617,0.07334678225863656,0.0,0.0,0.15380910563043837,0.13722202364612804,0.03271707697620944,0.06380102720559638,0.00018729238655537423
5, 01/01  06:00:00,93.8359174835,11.748493936300001,0.0,0.0,3.4936900082199998,6.8129867293599995,27.470144004,24.5545832988,1.75125,1.1643107051700001,121.3060614875,4.9057598647158776e-05,0.7735468148322442,0.09685001550817496,0.0,0.0,0.22645318516775576,0.20241843645488589,0.028800621876426246,0.05616361330849114,0.009598124701212699
6, 01/01  07:00:00,122.555722635,26.9939304041,0.0,0.0,6.9873800164499995,14.149973458699998,429.200244305,425.677744305,3.5025,0.02,551.75596694,0.00022313660542104676,0.22211943318834496,0.0489236764466843,0.0,0.0,0.7778805668116551,0.7714964038645181,0.012663895698675485,0.02564534741178199,3.6247908855283615e-05
7, 01/01  08:00:00,121.479388483,26.9939304041,0.0,0.0,6.9873800164499995,14.149973458699998,393.71846208,390.19596208,3.5025,0.02,515.197850563,0.00020835207298691282,0.23579172224854833,0.05239526984555829,0.0,0.0,0.7642082777514517,0.7573710986053224,0.013562517795472753,0.027465125181009846,3.882003773529785e-05
8, 01/01  09:00:00,153.338079456,26.9939304041,0.0,0.0,6.9873800164499995,14.149973458699998,349.68485387199996,345.01794655199996,3.5025,1.16440732027,503.02293332799997,0.0002034283931975187,0.3048331781644928,0.05366341893302586,0.0,0.0,0.6951668218355072,0.6858890990702174,0.013890778239913417,0.02812987742941215,0.0023148195502067483
9, 01/01  10:00:00,126.10481799200001,26.9939304041,0.0,0.0,6.9873800164499995,14.149973458699998,334.184707515,330.662207515,3.5025,0.02,460.289525507,0.00018614650024014164,0.27396847202442415,0.05864554570162488,0.0,0.0,0.7260315279755759,0.7183787359722817,0.015180401962772313,0.030741463089159104,4.345091272274855e-05
