,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/02  01:00:00,112.292921926,23.3629070228,13.544600213699999,10.0122372934,4.1224310944800004,15.988889478900001,98.96456903129999,95.9728386135,2.97173041782,0.02,211.25749095729998,9.277243252372955e-05,0.5315452787834964,0.11058972118305706,0.0641141772172125,0.04739352554094143,0.46845472121650356,0.454293185906001,0.019513774757995393,0.0756843670084661,9.467119915782046e-05
1, 01/02  02:00:00,104.612875031,19.542457558699997,10.4738431459,10.4902848729,4.1224310944800004,15.988889478900001,85.43424578390001,82.4425153661,2.97173041782,0.02,190.0471208149,8.345802845728698e-05,0.5504575632739508,0.10282953761627224,0.05511182227328346,0.05519833622271611,0.44954243672604915,0.4338003912534747,0.021691626144103072,0.08413118499423457,0.00010523705865283473
2, 01/02  03:00:00,123.930652862,24.428071948299998,12.57237887,15.2499848468,4.1224310944800004,15.988889478900001,107.758042705,104.766312288,2.97173041782,0.02,231.688695567,0.00010174467082137656,0.5349015952578559,0.10543488920993066,0.054264101402238266,0.06582101388019596,0.4650984047421442,0.45218568835052875,0.017792974682650717,0.06901022701936839,8.632272692914522e-05
3, 01/02  04:00:00,106.792003868,19.542457558699997,9.46983114913,13.414538455799999,4.1224310944800004,15.988889478900001,87.7040941778,84.71236376,2.97173041782,0.02,194.4960980458,8.541176954397206e-05,0.5490701610006211,0.10047737592194848,0.04868905466113794,0.06897073304083015,0.45092983899937883,0.4355478830225782,0.021195443692187843,0.08220673648236856,0.00010282982641271494
4, 01/02  05:00:00,152.64654727,28.8734760998,12.202043979,15.463007524000002,12.367293283399999,24.9413748627,124.356723227,119.38383919700001,4.9528840297,0.02,277.003270497,0.00012164428870467628,0.5510640614319143,0.10423514512299849,0.044050180191400126,0.05582247276812376,0.4489359385680856,0.43098350060200086,0.04464674103381728,0.09004000139763735,7.220131359501982e-05
5, 01/02  06:00:00,182.112449083,28.4425404229,15.198456036300001,42.5933395987,12.367293283399999,24.9413748627,193.77435358900001,188.80146956,4.9528840297,0.02,375.88680267200004,0.0001650683858803236,0.48448747811428716,0.07566783462658316,0.04043359843511776,0.11331427253078388,0.5155125218857127,0.5022827835877726,0.03290164271660193,0.06635341992696646,5.320750783967284e-05
6, 01/02  07:00:00,234.071430147,29.3754425053,8.67799004631,43.3676214858,24.7345865669,70.7195625826,189.60484152,179.67907346099997,9.905768059389999,0.02,423.67627166700004,0.00018605483832559867,0.5524770816784728,0.06933464172944864,0.02048259632800655,0.10236027926502801,0.44752291832152713,0.42409520069187084,0.05838086345874197,0.16691886544494514,4.720585347229346e-05
7, 01/02  08:00:00,244.13041254200002,29.4338479264,8.67878876663,31.602325334899998,37.1018798503,92.3937384068,171.344507759,161.41873969999997,9.905768059389999,0.02,415.474920301,0.00018245326513281933,0.5875936202482074,0.0708438620195799,0.02088883911534891,0.07606313592167006,0.4124063797517927,0.38851620594344566,0.08929992651161886,0.22238102444273486,4.8137682980986094e-05
8, 01/02  09:00:00,242.670035129,29.4560910313,8.68481875409,24.9287499947,37.1018798503,104.43494719799999,161.91983856299998,151.994070503,9.905768059389999,0.02,404.58987369199997,0.00017767316362032328,0.5997926564858521,0.07280481531211996,0.021465734361659893,0.061614863879854244,0.400207343514148,0.3756744307908896,0.09170244304864722,0.2581254598514807,4.943277452175013e-05
9, 01/02  10:00:00,249.247163992,29.5202712137,9.4245705771,19.4369647909,37.1018798503,116.47615598899999,159.58171028200002,141.045256324,9.905768059389999,8.63068589883,408.828874274,0.00017953469474842485,0.6096613514263496,0.07220691362889234,0.023052605063270525,0.0475430333178307,0.39033864857365047,0.3449982748270135,0.09075161316867766,0.2849019805556514,0.02111075425911736
