,Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,EWaterheat_scaled
0, 01/01  01:00:00,1.01175750616,6.1379665250099995,0.0,6.10999914663,0.0,0.150132813914,0.150132813914,0.150132813914,0.15401947611199998,0.0331798974413,0.092942924749,0.40603492295000004,0.158803470995,7.149724031169999,0.00022058274425796503,0.14151000818341145,0.020998406827939048,0.0,0.0,0.8584899918165886,0.8545783193858665,0.02618274114318035,0.06978980524613983,0.022211132947604552
1, 01/01  02:00:00,0.83977355786,6.7449350060099995,0.0,6.71918441743,0.0,0.165808493098,0.165808493098,0.165808493098,0.08984472759230001,0.0193549373138,0.0761857795615,0.37385121008199995,0.0980844102128,7.58470856387,0.00023400285411317483,0.11071929142541982,0.021860891780052568,0.0,0.0,0.8892807085745802,0.8858856422561902,0.014397344866522109,0.05933477678855922,0.012931862758712734
2, 01/01  03:00:00,0.771677468509,6.6588425229,0.0,6.633390491880001,0.0,0.16374877490999998,0.16374877490999998,0.16374877490999998,0.0641747963185,0.013824954979000001,0.062326493474500005,0.36951670329899994,0.0814417455281,7.430519991409,0.00022924583995453186,0.1038524180543483,0.022037323780747867,0.0,0.0,0.8961475819456517,0.892722245488792,0.010497213033230724,0.05811749342882966,0.010960436903778082
3, 01/01  04:00:00,0.76439501817,6.73219094378,0.0,6.70709718181,0.0,0.165352285825,0.165352285825,0.165352285825,0.0641747963185,0.013824954979000001,0.053976430534199996,0.364315295158,0.0861072553545,7.49658596195,0.00023128410227353426,0.10196575108319932,0.022057011907055998,0.0,0.0,0.8980342489168007,0.8946868902528212,0.010404703113310373,0.05579762945630181,0.011486195955272142
4, 01/01  05:00:00,0.806702521448,6.5286146215,0.0,6.50446877975,0.0,0.16054548104699998,0.16054548104699998,0.16054548104699998,0.0641747963185,0.013824954979000001,0.06582286430819999,0.350553236121,0.135137188675,7.335317142948,0.00022630864888489752,0.10997513886956405,0.021886644833256405,0.0,0.0,0.890024861130436,0.8867331368219358,0.010633453166028017,0.05676320359638357,0.0184228147251844
5, 01/01  06:00:00,1.0720077996600001,6.49879289688,0.0,6.47184807811,0.0,0.159461535661,0.159461535661,0.159461535661,0.0641747963185,0.013824954979000001,0.080078180578,0.391189237216,0.346635094908,7.570800696540001,0.00023357376964375302,0.14159767805668533,0.021062704204309186,0.0,0.0,0.8584023219433146,0.8548432771539947,0.010302708316327408,0.062248028535393636,0.04578579053948927
6, 01/01  07:00:00,1.68277042748,6.154378943230001,0.0,6.12324685484,0.0,0.150977501504,0.150977501504,0.150977501504,0.147602041092,0.0317973945638,0.14038354292000002,0.451980694856,0.743385252541,7.8371493707100015,0.00024179113876482034,0.2147171564407162,0.01926433890213353,0.0,0.0,0.7852828435592838,0.7813104695598354,0.02289090422676829,0.07558414542791025,0.09485403650966186
7, 01/01  08:00:00,2.12261352222,6.509177470269999,0.0,6.4760972938800005,0.0,0.15927781486,0.15927781486,0.15927781486,0.30162151720400004,0.0649772920051,0.22856729095800002,0.48026335161899997,0.856262255572,8.63179099249,0.00026630736189030903,0.24590650121935967,0.018452464268258813,0.0,0.0,0.7540934987806402,0.750261133467488,0.04247076991646989,0.08211860588303294,0.09919867803993193
8, 01/01  09:00:00,2.0558232908300003,6.007250325319999,0.0,5.979282946950001,0.0,0.147711058614,0.147711058614,0.147711058614,0.2887865675,0.062212303412,0.30112795013,0.40603492295000004,0.833306488219,8.06307361615,0.0002487613364726345,0.25496769454172813,0.018319448097080613,0.0,0.0,0.7450323054582719,0.7415637301107789,0.043531646568247116,0.08770388399574852,0.10334849064876722
9, 01/01  10:00:00,1.7938557121599998,5.31015342294,0.0,5.28635092237,0.0,0.12975048736199998,0.12975048736199998,0.12975048736199998,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.7474286816750001,7.1040091351,0.00021917235174706166,0.25251314828647786,0.01826440322562642,0.0,0.0,0.7474868517135221,0.7441362788021789,0.025253266464623524,0.10144034076525099,0.10521223543788122
10, 01/01  11:00:00,1.70060685379,5.81689099138,0.0,5.7925286954,0.0,0.143316244275,0.143316244275,0.143316244275,0.12193214168500001,0.026267417377599998,0.395792849183,0.353695753539,0.642958447734,7.51749784517,0.00023192927411067927,0.2262197993023226,0.0190643545534344,0.0,0.0,0.7737802006976774,0.7705394553749962,0.01971394766116473,0.09969921084893256,0.08552825168378352
11, 01/01  12:00:00,1.58430716255,4.2549594888,0.0,4.23058972889,0.0,0.103784843566,0.103784843566,0.103784843566,0.12193214168500001,0.026267417377599998,0.413608485392,0.353804116208,0.548266158326,5.83926665135,0.0001801526124355911,0.2713195435566757,0.0177736092154664,0.0,0.0,0.7286804564433244,0.7245070282775862,0.025379823856534665,0.13142277060126706,0.09389298195506185
12, 01/01  13:00:00,1.4637782151299998,3.10949280287,0.0,3.08553355958,0.0,0.07568384125989999,0.07568384125989999,0.07568384125989999,0.12193214168500001,0.026267417377599998,0.399656479991,0.34784416938100005,0.47575016543399995,4.573271018,0.00014109421104758043,0.32007248408605027,0.016549170377617013,0.0,0.0,0.6799275159139497,0.6746885429347192,0.03240559295071282,0.16344989099266194,0.10402842157429297
13, 01/01  14:00:00,1.38160838709,2.63270092278,0.0,2.6079131823,0.0,0.0645285907274,0.0645285907274,0.0645285907274,0.12193214168500001,0.026267417377599998,0.361435815596,0.359872425705,0.430927995997,4.01430930987,0.0001238491667665834,0.3441708848127456,0.01607464341841902,0.0,0.0,0.6558291151872544,0.649654269512295,0.03691782262473425,0.17968427084766894,0.10734798012138114
14, 01/01  15:00:00,1.3340183834200001,2.47583708907,0.0,2.44965359204,0.0,0.0609544818887,0.0609544818887,0.0609544818887,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.38851643362300003,3.8098554724900002,0.00011754137246197277,0.3501493411108659,0.01599915858458066,0.0,0.0,0.6498506588891342,0.6429780892551771,0.04094629859939114,0.18685852869104302,0.1019766855799068
15, 01/01  16:00:00,1.41726036434,2.8589170900300003,0.0,2.83127812496,0.0,0.0710993802128,0.0710993802128,0.0710993802128,0.16043699079600002,0.0345623831569,0.339922588697,0.401266965488,0.393328055991,4.27617745437,0.000131928302925647,0.3314316067242822,0.01662685446791752,0.0,0.0,0.6685683932757179,0.6621049185100121,0.04560132876469432,0.17332993358999826,0.09198122860618005
16, 01/01  17:00:00,1.7467956243,3.62074804852,0.0,3.58805599694,0.0,0.0903706652922,0.0903706652922,0.0903706652922,0.269534103112,0.058064811941300004,0.38963866265600006,0.4746284928,0.44791488849699995,5.36754367282,0.00016559905083236642,0.325436685898872,0.016836503026480466,0.0,0.0,0.674563314101128,0.6684726227956161,0.061033302199698006,0.1610172563350437,0.08344876461185353
17, 01/01  18:00:00,2.3628411860900003,4.97683173621,0.0,4.9371161183,0.0,0.124099154788,0.124099154788,0.124099154788,0.500563357112,0.10783464094100001,0.48042186765100003,0.5765977648830001,0.556680400714,7.3396729223,0.00022644303305953945,0.32192731353341664,0.016907995233813717,0.0,0.0,0.6780726864665835,0.6726615982164064,0.08289170437071043,0.14401454175464357,0.07584539619233545
18, 01/01  19:00:00,2.7752133579900002,4.12756353474,0.0,4.08444436077,0.0,0.101039350652,0.101039350652,0.101039350652,0.744427560815,0.160369475696,0.432594020017,0.6260111422160001,0.664127808596,6.90277689273,0.0002129639498476817,0.4020430329876159,0.014637493319306694,0.0,0.0,0.5979569670123841,0.5917103253144012,0.13107725348387422,0.15335931881963652,0.09621168682062706
19, 01/01  20:00:00,2.76143461758,4.2079770702,0.0,4.16346960362,0.0,0.102726831259,0.102726831259,0.102726831259,0.789349924612,0.170046944353,0.34959065072800005,0.646166598759,0.68690966787,6.96941168778,0.00021501976149735047,0.3962220544987798,0.014739670414235793,0.0,0.0,0.6037779455012202,0.5973918302057157,0.13765822883546736,0.14287536654391317,0.09856063878023033
