,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,760.4329842139999,96.4632693683,314.125202748,0.0,34.9616554283,113.312780494,676.399377656,662.002084486,5.6646699609599995,8.732623209560002,1436.8323618699999,0.00010049399831177307,0.5292426621184368,0.06713606397530994,0.21862341848924827,0.0,0.47075733788156315,0.46073717578606144,0.02433245266190853,0.07886290948133041,0.006077691066336173
1, 01/01  02:00:00,805.259798059,96.4632693683,369.959676716,0.0,34.9616554283,113.312780494,679.6968208669999,656.5881443009999,5.6646699609599995,17.444006605,1484.956618926,0.00010385987392515834,0.5422783317679725,0.06496032822700733,0.24913837347219922,0.0,0.4577216682320276,0.44215981526509485,0.02354389009261842,0.07630713183793468,0.011747148962248094
2, 01/01  03:00:00,813.381236066,96.4632693683,373.72475029099996,0.0,34.9616554283,113.312780494,685.733495857,662.626597345,5.6646699609599995,17.4422285514,1499.114731923,0.00010485011149314203,0.5425743732253432,0.06434682237066744,0.24929696328952883,0.0,0.45742562677465687,0.4420119309314045,0.023321534158664888,0.07558646318460711,0.01163501910826122
3, 01/01  04:00:00,793.71323261,96.4632693683,352.58993224,0.0,34.9616554283,113.312780494,691.557033563,668.448670558,5.6646699609599995,17.4436930439,1485.270266173,0.0001038818108377356,0.5343897677660441,0.06494661043531874,0.2373910932375262,0.0,0.46561023223395587,0.4500518766058305,0.023538918286153697,0.0762910179209106,0.011744457181416578
4, 01/01  05:00:00,783.6216338280001,96.4632693683,336.999036823,0.0,44.4937663224,113.312780494,685.246661878,662.137035373,5.6646699609599995,17.4449565444,1468.868295706,0.00010273463484409691,0.5334866550791462,0.06567183024529485,0.2294276742225034,0.0,0.46651334492085395,0.45078039828938443,0.030291188428853942,0.07714291391900259,0.011876460670706504
5, 01/01  06:00:00,775.8040063469999,96.4632693683,327.166983955,0.0,44.4937663224,113.312780494,700.9533306339999,669.348624921,14.1616749024,17.4430308104,1476.7573369809998,0.00010328640505863991,0.5253429164828193,0.06532100227482474,0.22154417368519183,0.0,0.47465708351718083,0.4532556623618197,0.03012936872442467,0.07673080583818213,0.011811710951820669
6, 01/01  07:00:00,849.998695215,96.4632693683,326.64385427400003,0.0,54.0258772165,176.889270242,644.069914379,598.3053957340001,28.3233498048,17.4411688402,1494.068609594,0.00010449717887395218,0.568915436517992,0.0645641496975919,0.21862707788416935,0.0,0.4310845634820079,0.4004537622248715,0.036160238472034464,0.11839434220498624,0.011673606371356322
7, 01/01  08:00:00,856.836994489,96.4632693683,332.820368018,0.0,54.0258772165,184.38654557,637.775937681,586.557746309,42.4850247072,8.7331666652,1494.61293217,0.00010453524953096496,0.5732835412075383,0.064540636101848,0.22267997342615287,0.0,0.42671645879246156,0.3924479266062471,0.0361470692870701,0.12336742282986451,0.005843095879359536
8, 01/01  09:00:00,938.265235062,96.4632693683,334.882832227,0.0,65.1572554096,220.04316451,637.94111694,555.006439551,56.6466996096,26.287977779600002,1576.2063520020001,0.0001102420036467876,0.5952680205039609,0.061199645113584465,0.21246128833426695,0.0,0.40473197949603906,0.35211534254132715,0.04133802362034721,0.13960301849470072,0.01667800522831965
9, 01/01  10:00:00,932.716194454,96.4632693683,335.81195702599996,0.0,65.1572554096,212.545889182,601.694619266,532.788084739,42.4850247072,26.4215098196,1534.41081372,0.0001073187671823162,0.6078660200476157,0.06286665116393181,0.21885400834204435,0.0,0.3921339799523842,0.347226492393727,0.04246402255966499,0.1385195459270176,0.01721931935264724
10, 01/01  11:00:00,951.13381678,96.4632693683,346.129990838,0.0,65.1572554096,220.04316451,618.27087755,512.067886283,70.808374512,35.3946167546,1569.40469433,0.00010976628651182717,0.606047516116327,0.06146487882749801,0.22054858895765414,0.0,0.393952483883673,0.3262816073719014,0.04151717886724973,0.140208045321248,0.022552893388477113
11, 01/01  12:00:00,977.891458149,96.4632693683,370.651801105,0.0,65.1572554096,220.04316451,599.622441855,502.25057422099997,70.808374512,26.563493121100002,1577.5139000039999,0.00011033345532214834,0.6198940358918679,0.06114891879434813,0.2349594517703205,0.0,0.3801059641081322,0.3183810768448547,0.04130375992847656,0.13948730626680506,0.01683883300237966
