,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,148.171630913,30.8976316354,24.258565698,0.0,34.431160611799996,33.1021868926,196.20000859200002,54.3892673251,3.3321199999999997,138.478621267,344.371639505,6.556003887078355e-05,0.43026664775874685,0.08972176593813669,0.07044298343751325,0.0,0.5697333522412531,0.15793770765583126,0.0999825672674189,0.09612344076934182,0.4021197026156081
1, 01/01  02:00:00,148.563744305,30.8976316354,24.5884492827,0.0,34.431160611799996,33.1021868926,148.445493903,42.728031291,3.3321199999999997,102.385342612,297.009238208,5.654338211441355e-05,0.5001990685587988,0.10402919391268876,0.08278681643390615,0.0,0.4998009314412012,0.14386095041621877,0.11592622781547064,0.11145170800855038,0.34472107073079666
2, 01/01  03:00:00,130.687926558,30.8976316354,24.1904743121,0.0,19.466279405,30.610668775,146.38294242,35.7590237079,3.3321199999999997,107.291798712,277.070868978,5.274759839767733e-05,0.47167689277495595,0.11151526592950244,0.08730789491269388,0.0,0.5283231072250439,0.12906092885116457,0.07025740193042691,0.11047956390330789,0.3872359411429831
3, 01/01  04:00:00,130.669080516,30.8976316354,24.186623596799997,0.0,19.466279405,30.610668775,143.25260424,31.9033379533,3.3321199999999997,108.017146286,273.921684756,5.214806981773287e-05,0.4770308003632335,0.11279731892318984,0.08829758629129567,0.0,0.5229691996367666,0.11646882933608704,0.07106512732768817,0.11174970978390021,0.39433587151823324
4, 01/01  05:00:00,139.222180816,30.8976316354,26.169538235500003,0.0,19.466279405,30.610668775,171.497871653,29.896893614099998,3.3321199999999997,138.268858038,310.720052469,5.9153589845785693e-05,0.44806307063136824,0.09943880798772266,0.08422223808072668,0.0,0.5519369293686318,0.0962181017174061,0.06264893189325822,0.09851526649717586,0.4449949623119185
5, 01/01  06:00:00,153.872623383,30.8976316354,28.5776521604,0.0,19.466279405,30.610668775,208.71019852700002,29.0531502648,8.3303,171.326748262,362.58282191,6.902700795125393e-05,0.4243792427132527,0.08521537637287567,0.07881689488172586,0.0,0.5756207572867472,0.08012831416489871,0.05368781483484594,0.08442393551285823,0.4725175543603844
6, 01/01  07:00:00,256.475696372,32.0953935072,57.7209343193,0.0,42.6918050922,54.373244103699996,293.043739512,28.549008717800003,16.6606,247.834130794,549.519435884,0.00010461522217273937,0.46672725225708006,0.05840629359281685,0.10503893138273732,0.0,0.5332727477429199,0.05195268238669999,0.0776893450975444,0.09894689896860688,0.45100157448537664
7, 01/01  08:00:00,320.70847810000004,35.6886791226,75.0364028087,0.0,49.3960418185,88.5934452969,612.7799727309999,174.32635545,24.9909,413.462717281,933.4884508309999,0.00017771364450881066,0.343559127929759,0.038231516512956976,0.08038278646286616,0.0,0.656440872070241,0.18674720109800297,0.052915536099592014,0.09490577544696274,0.44292215604052915
8, 01/01  09:00:00,357.95700787699997,35.6886791226,86.1042033263,0.0,57.656686298900006,112.03010548799999,827.130402246,203.995516169,33.3212,589.8136860769999,1185.087410123,0.00022561200679770845,0.3020511439235083,0.030114807412303775,0.07265641554437176,0.0,0.6979488560764917,0.1721354175451306,0.04865184273024707,0.09453320027792078,0.4976963564365124
9, 01/01  10:00:00,315.18365929099997,35.912377886,99.15545502469999,0.0,50.9524495726,81.1684271793,682.497518708,196.50018643599998,66.8089,419.188432271,997.681177999,0.0001899343886281724,0.31591621275561027,0.03599584584529066,0.09938591326697292,0.0,0.6840837872443897,0.19695689441602046,0.05107087383846693,0.08135707976579803,0.4201627148181201
10, 01/01  11:00:00,268.606049365,36.02666903,97.392273856,0.0,42.6918050922,68.9656133826,603.029351368,198.571091035,83.4695,320.988760333,871.635400733,0.00016593831836833584,0.3081633090385226,0.041332269203044586,0.11173510595611212,0.0,0.6918366909614774,0.22781439449110494,0.04897897108848311,0.07912208857580073,0.36826035296761145
11, 01/01  12:00:00,263.745667711,36.1066715363,96.0840791943,0.0,38.286128036,68.9656133826,540.84850281,201.729252195,83.4695,255.649750615,804.594170521,0.00015317528809975285,0.3277996254188822,0.04487563154095411,0.11941930816138345,0.0,0.6722003745811178,0.2507217421975279,0.04758439650539418,0.0857147813262711,0.3177375128749177
12, 01/01  13:00:00,269.120633475,36.2489725625,101.975889603,0.0,38.286128036,68.9656133826,465.47469452300004,194.77090079799999,83.4695,187.234293725,734.595327998,0.00013984919991399472,0.36635222580088705,0.049345498372947307,0.13881913717163966,0.0,0.633647774199113,0.2651404023066837,0.05211866530698142,0.09388245576044252,0.25488086649730196
13, 01/01  14:00:00,249.55304409599998,36.3850899951,101.072294113,0.0,31.5818913096,56.727595265,451.944941024,189.563892305,75.1392,187.24184871900002,701.49798512,0.00013354826558409374,0.35574306610917894,0.051867704208552905,0.1440806620359862,0.0,0.6442569338908211,0.27022727980119965,0.045020644363215845,0.08086636949541065,0.26691715826805973
14, 01/01  15:00:00,247.05420574400003,36.4363147285,98.4999137191,0.0,31.5818913096,56.727595265,436.10877111900004,189.593004816,66.8089,179.706866302,683.162976863,0.0001300577230534926,0.3616328959722648,0.05333473265165957,0.144182160121439,0.0,0.6383671040277352,0.27752236470217934,0.04622892688743196,0.08303669429729067,0.2630512372423806
15, 01/01  16:00:00,236.550752119,36.3812324752,88.18901888239999,0.0,31.5818913096,56.727595265,451.477205704,195.155942353,75.1392,181.18206335,688.0279578230001,0.00013098389787236466,0.34380979643250825,0.05287754961341167,0.1281765048639015,0.0,0.6561902035674917,0.283645366636693,0.04590204649463483,0.08244954964401834,0.26333532131932685
16, 01/01  17:00:00,250.380974462,36.0068850477,65.05210312359999,0.0,31.5818913096,61.661095265,441.178684314,205.533334146,91.7998,143.845550167,691.559658776,0.0001316562483948742,0.36205260281542795,0.052066202229651505,0.09406578636865041,0.0,0.637947397184572,0.29720260795688397,0.04566763099729845,0.08916236579521532,0.20800165009855262
