,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,37.8331039248,5.4090510833500005,0.9068356194830001,0.950790393215,12.925468867000001,10.100111941,30.8954362275,30.8754362275,0.0,0.02,68.7285401523,8.115551276025771e-05,0.5504715194148339,0.07870167286201243,0.013194454843264307,0.013833996635285463,0.4495284805851661,0.44923748066059793,0.18806552326526393,0.14695659064805555,0.00029099992456817377
1, 01/01  02:00:00,38.106828609299995,5.41497596699,0.816388900714,1.31024480725,12.925468867000001,10.100111941,34.7285842387,28.9681700393,0.0,5.76041419945,72.835412848,8.600495898335606e-05,0.5231909468107913,0.07434537342831428,0.011208680898366286,0.017989117601136494,0.4768090531892086,0.39772095614743863,0.17746132494606878,0.13867034655350813,0.07908809704245641
2, 01/01  03:00:00,33.9148686715,5.41358916395,0.580565664413,1.97453116531,8.34152022915,10.0650221343,35.7361148896,29.975809488299998,0.0,5.76030540131,69.6509835611,8.224474537988842e-05,0.4869259117030103,0.07772451855185981,0.008335354861194598,0.028348934420687397,0.5130740882969897,0.43037166104056934,0.11976170044795648,0.14450653271063502,0.08270242725656389
3, 01/01  04:00:00,34.1573548346,5.41220068339,0.448322866453,2.35065121385,8.34152022915,10.0650221343,31.7894319412,31.7694319412,0.0,0.02,65.9467867758,7.787078386681445e-05,0.5179532848313766,0.08206920985839562,0.006798251868998077,0.035644666385968644,0.4820467151686233,0.4817434403469403,0.12648865300304554,0.15262338965078256,0.00030327482168303685
4, 01/01  05:00:00,35.8455270866,5.40738498946,0.35733660721999994,2.5279152289099995,8.34152022915,11.6705166398,38.383589967199995,32.6166748106,0.0,5.76691515658,74.2291170538,8.765066219787489e-05,0.4829038591503086,0.07284722227722067,0.004813968175871046,0.03405557454061874,0.5170961408496915,0.4394053991907245,0.11237531254890461,0.15722289450568852,0.0776907416586976
5, 01/01  06:00:00,40.1006569372,5.40374300724,0.2730453263,2.71257728059,8.80141237637,15.367811299500001,38.428813141999996,32.6552786227,0.0,5.773534519269999,78.5294700792,9.272857239432452e-05,0.5106446904169472,0.06881165760815802,0.0034769791012803637,0.03454215694890417,0.4893553095830528,0.41583469988739125,0.1120778271837749,0.19569483003006352,0.07352060969527958
6, 01/01  07:00:00,59.732292176899996,5.41479969365,0.617351580407,2.01206041729,18.5082010057,25.635382069499997,42.7947632579,31.2425658181,0.0,11.5521974397,102.52705543479999,0.0001210652188620961,0.5826002894902754,0.05281337370596225,0.0060213528788953885,0.01962467768880312,0.4173997105097246,0.3047250863258048,0.18052016540619287,0.2500352903024929,0.11267462418294444
7, 01/01  08:00:00,70.5418251535,5.505032485269999,1.75426499458,0.791203977638,19.4926561212,41.1001056674,40.6509689807,29.0318961242,0.0,11.6190728565,111.1927941342,0.00013129783061316473,0.6344100416108095,0.04950889604074438,0.015776786690536396,0.007115604781754884,0.36558995838919045,0.261095121768062,0.17530503008741793,0.3696292191182439,0.10449483662112846
8, 01/01  09:00:00,94.4076402868,5.71755318715,4.00499983722,0.32002583059,26.3286599382,57.9988325916,64.07107861029999,22.569721968699998,0.0,41.5013566416,158.4787188971,0.00018713363713505977,0.5957117835366825,0.03607773477057446,0.02527153087235921,0.0020193615446739716,0.40428821646331736,0.14241484361918955,0.1661337252183062,0.36597237152868806,0.2618733728441278
9, 01/01  10:00:00,80.4571170841,5.6332546202,5.29561425912,0.437068700102,26.2443270014,42.8153538416,68.4484786463,20.952238486400002,18.025,29.4712401599,148.90559573040002,0.00017582957454928346,0.540322992493654,0.03783104719851663,0.03556356786421873,0.0029352066855387465,0.45967700750634594,0.14070820094857234,0.1762480910987152,0.2875335452075222,0.19791895674128288
