,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,401.96085543199996,21.1102812595,94.1517928422,0.0,24.920363534099998,149.522181205,288.325790597,288.305790597,0.02,,690.2866460289999,8.935016173884854e-05,0.5823100558939583,0.03058190590958227,0.13639521115441736,0.0,0.4176899441060417,0.4176609706352162,0.036101471290888996,0.2166088277459135,2.89734708255674e-05
1, 01/01  02:00:00,373.86520863699997,16.8882250076,76.0102426995,0.0,24.920363534099998,149.522181205,203.618889518,201.42954331299998,2.18934620503,,577.484098155,7.474908846722007e-05,0.6474034693448,0.029244484933102183,0.13162309220694493,0.0,0.3525965306552001,0.348805350582892,0.04315333290339578,0.25891999742106736,0.0037911800723599617
2, 01/01  03:00:00,405.45701407,21.1102812595,94.2628547093,0.0,24.920363534099998,149.522181205,275.63557735,273.446189822,2.18938752802,,681.09259142,8.816009052556965e-05,0.5953038091703048,0.03099473041615015,0.1383994715208585,0.0,0.4046961908296953,0.4014816682294195,0.03658880429479331,0.21953282576934716,0.003214522600305163
3, 01/01  04:00:00,370.31377691,16.8882250076,75.162763574,0.0,24.920363534099998,149.522181205,221.025636885,218.836434934,2.1892019509900003,,591.339413795,7.654250965028724e-05,0.6262288091596359,0.028559275119541837,0.127105959488871,0.0,0.37377119084036414,0.37006908355657847,0.042142233297405664,0.25285339978511046,0.0037021072837687295
4, 01/01  05:00:00,414.14205551699996,21.1102812595,92.9856778686,0.0,24.920363534099998,149.522181205,298.649496348,296.46008532,2.18941102896,,712.791551865,9.226317908886068e-05,0.5810142592647295,0.029616346047123474,0.1304528338268116,0.0,0.4189857407352705,0.4159141400376031,0.034961642669440365,0.20976985601720338,0.0030716006990142695
5, 01/01  06:00:00,405.090166076,16.8882250076,74.27909667029999,0.0,24.920363534099998,149.522181205,237.028305799,232.66445595599998,4.3638498428600005,,642.1184718750001,8.31153110777739e-05,0.6308651499981426,0.026300792995856373,0.11567818077776737,0.0,0.36913485000185736,0.36233883021090274,0.038809603874705535,0.23285762324885617,0.006796019790736533
6, 01/01  07:00:00,485.089690098,21.1102812595,91.96575787229999,0.0,24.920363534099998,149.522181205,312.842943526,310.653543287,2.1894002392900003,,797.932633624,0.0001032837738947286,0.6079331382836798,0.02645621994882282,0.11525504033418926,0.0,0.3920668617163202,0.3893230207619074,0.0312311622359876,0.18738697341642693,0.0027438409547762455
7, 01/01  08:00:00,442.981790798,16.8882250076,73.6866955127,0.0,24.920363534099998,149.522181205,233.97815791099998,231.788774453,2.18938345754,,676.959948709,8.76251644962731e-05,0.6543692749368567,0.024947155352110235,0.10884941665046005,0.0,0.34563072506314335,0.3423965847536978,0.0368121682554847,0.22087300953349912,0.0032341403087660877
8, 01/01  09:00:00,457.263304615,21.1102812595,91.7156344012,0.0,24.920363534099998,149.522181205,265.384380533,263.195011699,2.1893688335799997,,722.6476851479999,9.353894924611604e-05,0.6327610452683473,0.029212411100682574,0.12691611180130805,0.0,0.36723895473165274,0.364209305735335,0.03448480365504284,0.20690882193081062,0.0030296489957365763
9, 01/01  10:00:00,390.050675328,16.8882250076,74.9182315916,0.0,24.920363534099998,149.522181205,144.49292016799998,142.303539366,2.18938080197,,534.543595496,6.919090350188623e-05,0.7296891752413088,0.031593728088593995,0.1401536417662694,0.0,0.2703108247586912,0.2662150301023761,0.04661988983513409,0.2797193390115529,0.004095794656259021
